Symbol / Rank,Theme,2022-12-03 00:00:00,2022-12-10 00:00:00,2022-12-17 00:00:00,2023-01-01 00:00:00,2023-01-12 00:00:00,2023-01-31 00:00:00,2023-02-14 00:00:00,2023-02-28 00:00:00,2023-03-13 00:00:00,2023-03-31 00:00:00,2023-04-14 00:00:00,2023-04-30 00:00:00,2023-05-16 00:00:00,2023-05-31 00:00:00,2023-06-14 00:00:00,2023-06-30 00:00:00,2023-07-13 00:00:00,14Jul23_PUp,2023-07-29 00:00:00,2023-08-13 00:00:00,2023-08-31 00:00:00,2023-09-13 00:00:00,2023-09-29 00:00:00,2023-10-13 00:00:00,2023-10-31 00:00:00,2023-11-12 00:00:00,2023-11-30 00:00:00,2023-12-14 00:00:00,2023-12-31 00:00:00,2024-01-13 00:00:00,2024-01-31 00:00:00,2024-02-13 00:00:00,2024-02-29 00:00:00,2024-03-29 00:00:00,2024-04-30 00:00:00,2024-05-31 00:00:00,2024-06-28 00:00:00,2024-07-31 00:00:00,2024-08-31 00:00:00,2024-09-29 00:00:00,2024-10-31 00:00:00,2024-11-30 00:00:00,2024-12-31 00:00:00,2025-02-01 00:00:00,2025-02-28 00:00:00,2025-03-31 00:00:00,2025-04-30 00:00:00,2025-05-31 00:00:00,2025-06-30 00:00:00,2025-07-31 00:00:00,2025-08-31 00:00:00,2025-09-30 00:00:00,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,note
BANSALWIRE,heavy electrical equipment · group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,52.0,33.0,56.0,87.0,76.0,46.0,66.0,87.0,94.0,82.0,87.0,88.0,
Holding Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,holding companies,,,,,,,,,,,,3.0,,5.0,,3.0,,,5.0,5.0,26.0,32.0,37.0,37.0,40.0,42.0,61.0,63.0,72.0,77.0,67.0,65.0,51.0,55.0,35.0,32.0,25.0,48.0,50.0,,75.0,76.0,81.0,66.0,64.0,44.0,38.0,25.0,8.0,13.0,5.0,5.0,4.0,1.0,3.0,3.0,
BAJAJFINSV,holding companies,,,,,,,,,,,,52.0,,51.0,,46.0,,,48.0,46.0,64.0,66.0,60.0,56.0,42.0,43.0,27.0,37.0,45.0,45.0,50.0,53.0,52.0,41.0,56.0,61.0,65.0,60.0,40.0,,67.0,79.0,67.0,32.0,11.0,14.0,12.0,10.0,11.0,25.0,38.0,31.0,31.0,21.0,20.0,28.0,
JMFINANCIL,holding companies,,,,,,,,,,,,76.0,,68.0,,69.0,,,65.0,63.0,61.0,61.0,56.0,52.0,49.0,49.0,61.0,61.0,43.0,43.0,27.0,27.0,45.0,78.0,65.0,75.0,77.0,62.0,46.0,,21.0,20.0,31.0,39.0,45.0,51.0,53.0,28.0,5.0,9.0,4.0,16.0,17.0,31.0,36.0,41.0,
CHOLAHLDNG,holding companies,,,,,,,,,,,,36.0,,11.0,,6.0,,,4.0,5.0,2.0,2.0,4.0,5.0,3.0,4.0,37.0,39.0,40.0,40.0,23.0,22.0,49.0,40.0,57.0,51.0,18.0,36.0,22.0,,31.0,30.0,50.0,30.0,9.0,19.0,7.0,10.0,4.0,23.0,46.0,41.0,44.0,38.0,40.0,44.0,
RANEHOLDIN,holding companies,,,,,,,,,,,,,,,,,,,,62.0,77.0,76.0,36.0,37.0,48.0,49.0,46.0,43.0,63.0,63.0,62.0,62.0,71.0,66.0,42.0,63.0,62.0,34.0,3.0,,39.0,36.0,44.0,47.0,58.0,66.0,76.0,61.0,57.0,58.0,58.0,42.0,52.0,65.0,68.0,61.0,
BAJAJHLDNG,holding companies,,,,,,,,,,,,14.0,,7.0,,17.0,,,8.0,9.0,19.0,18.0,38.0,38.0,42.0,43.0,38.0,37.0,41.0,40.0,24.0,25.0,26.0,42.0,56.0,54.0,54.0,48.0,35.0,,31.0,27.0,22.0,11.0,8.0,7.0,7.0,6.0,6.0,13.0,29.0,36.0,46.0,55.0,67.0,71.0,
Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHALET,hotels,,,,,,,,,,,,14.0,,11.0,,21.0,,,17.0,17.0,5.0,3.0,5.0,6.0,11.0,15.0,16.0,15.0,5.0,4.0,4.0,4.0,13.0,7.0,21.0,34.0,44.0,51.0,53.0,,44.0,29.0,24.0,50.0,42.0,37.0,45.0,25.0,38.0,27.0,13.0,28.0,32.0,43.0,42.0,30.0,
LEMONTREE,hotels,,,,,,,,,,,,24.0,,30.0,,37.0,,,41.0,42.0,16.0,8.0,21.0,20.0,23.0,28.0,41.0,44.0,27.0,25.0,8.0,11.0,18.0,32.0,17.0,39.0,39.0,41.0,66.0,,92.0,72.0,29.0,37.0,43.0,35.0,27.0,38.0,53.0,33.0,13.0,16.0,19.0,22.0,24.0,54.0,
MHRIL,hotels,,,,,,,,,,,,37.0,,37.0,,52.0,,,52.0,50.0,36.0,34.0,38.0,37.0,49.0,52.0,60.0,60.0,64.0,63.0,59.0,58.0,49.0,53.0,54.0,49.0,42.0,55.0,76.0,,89.0,89.0,88.0,74.0,77.0,84.0,69.0,53.0,75.0,53.0,42.0,31.0,55.0,58.0,53.0,56.0,
INDHOTEL,hotels,,,,,,,,,,,,7.0,,2.0,,5.0,,,7.0,7.0,5.0,6.0,22.0,22.0,34.0,34.0,26.0,27.0,26.0,25.0,13.0,12.0,9.0,9.0,24.0,31.0,20.0,22.0,30.0,,24.0,12.0,6.0,7.0,10.0,12.0,9.0,25.0,43.0,47.0,42.0,63.0,60.0,52.0,52.0,60.0,
SAMHI,hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,49.0,52.0,58.0,70.0,57.0,,76.0,72.0,44.0,56.0,77.0,87.0,31.0,29.0,18.0,15.0,20.0,27.0,32.0,37.0,56.0,62.0,
EIHOTEL,hotels,,,,,,,,,,,,26.0,,12.0,,14.0,,,16.0,19.0,7.0,4.0,46.0,49.0,45.0,44.0,43.0,42.0,32.0,35.0,4.0,5.0,20.0,3.0,4.0,16.0,24.0,31.0,65.0,,71.0,58.0,37.0,58.0,53.0,55.0,52.0,54.0,66.0,50.0,27.0,53.0,40.0,41.0,41.0,68.0,
Household Appliances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTRADE,household appliances,,,,,,,,,,,,87.0,,88.0,,86.0,,,87.0,86.0,84.0,84.0,72.0,70.0,36.0,36.0,49.0,48.0,61.0,61.0,63.0,63.0,28.0,49.0,62.0,29.0,57.0,46.0,46.0,,14.0,10.0,8.0,2.0,2.0,2.0,2.0,11.0,10.0,5.0,3.0,4.0,3.0,2.0,5.0,11.0,
NYKAA,household appliances,,,,,,,,,,,,83.0,,83.0,,81.0,,,75.0,74.0,83.0,82.0,77.0,74.0,71.0,72.0,34.0,30.0,45.0,42.0,56.0,55.0,62.0,56.0,43.0,56.0,60.0,46.0,32.0,,66.0,72.0,68.0,47.0,46.0,34.0,20.0,18.0,18.0,24.0,12.0,12.0,15.0,5.0,4.0,13.0,
CARYSIL,household appliances,,,,,,,,,,,,,,,,47.0,,,56.0,57.0,74.0,73.0,78.0,75.0,64.0,65.0,21.0,13.0,51.0,56.0,43.0,44.0,34.0,20.0,43.0,68.0,74.0,81.0,69.0,,83.0,91.0,82.0,74.0,87.0,69.0,77.0,25.0,22.0,17.0,16.0,17.0,11.0,10.0,24.0,32.0,
IFBIND,household appliances,,,,,,,,,,,,63.0,,76.0,,82.0,,,81.0,79.0,75.0,75.0,74.0,71.0,75.0,75.0,47.0,46.0,66.0,65.0,18.0,19.0,22.0,4.0,24.0,56.0,10.0,23.0,19.0,,55.0,30.0,22.0,66.0,82.0,64.0,67.0,65.0,71.0,80.0,51.0,34.0,13.0,30.0,45.0,76.0,
BAJAJELEC,household appliances,,,,,,,,,,,,34.0,,30.0,,28.0,,,45.0,45.0,62.0,62.0,,,,,,,,,,,,85.0,87.0,82.0,75.0,83.0,80.0,,93.0,97.0,96.0,91.0,92.0,98.0,97.0,77.0,82.0,89.0,92.0,89.0,94.0,97.0,96.0,93.0,
CROMPTON,household appliances,,,,,,,,,,,,71.0,,79.0,,79.0,,,80.0,78.0,79.0,79.0,80.0,77.0,70.0,70.0,74.0,72.0,63.0,61.0,60.0,65.0,65.0,73.0,44.0,20.0,33.0,13.0,8.0,,49.0,45.0,45.0,41.0,45.0,31.0,54.0,74.0,69.0,90.0,85.0,93.0,94.0,95.0,95.0,96.0,
Houseware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNGJL,houseware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,88.0,87.0,77.0,63.0,69.0,53.0,46.0,40.0,36.0,43.0,
BORORENEW,houseware,,,,,,,,,,,,,,,,,,,,,,,,86.0,87.0,87.0,86.0,,,85.0,47.0,47.0,59.0,60.0,65.0,73.0,70.0,74.0,73.0,,90.0,87.0,39.0,49.0,28.0,38.0,33.0,24.0,44.0,21.0,40.0,23.0,12.0,28.0,38.0,63.0,
TTKPRESTIG,houseware,,,,,,,,,,,,64.0,,76.0,,77.0,,,76.0,75.0,77.0,78.0,78.0,76.0,66.0,65.0,66.0,68.0,72.0,71.0,62.0,60.0,64.0,72.0,79.0,71.0,54.0,38.0,46.0,,58.0,54.0,58.0,71.0,76.0,82.0,86.0,91.0,93.0,93.0,77.0,79.0,76.0,65.0,67.0,64.0,
STOVEKRAFT,houseware,,,,,,,,,,,,85.0,,,,,,,,87.0,82.0,81.0,79.0,76.0,77.0,75.0,81.0,81.0,83.0,81.0,83.0,84.0,67.0,81.0,81.0,59.0,29.0,38.0,8.0,,27.0,17.0,11.0,4.0,15.0,26.0,44.0,80.0,85.0,82.0,80.0,72.0,32.0,57.0,74.0,86.0,
LAOPALA,houseware,,,,,,,,,,,,32.0,,30.0,,26.0,,,16.0,17.0,41.0,41.0,42.0,45.0,47.0,46.0,70.0,74.0,80.0,80.0,79.0,79.0,84.0,89.0,90.0,88.0,89.0,88.0,84.0,,83.0,78.0,73.0,83.0,83.0,87.0,85.0,87.0,79.0,53.0,64.0,69.0,85.0,81.0,89.0,89.0,
Housing Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,housing finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,91.0,97.0,68.0,57.0,45.0,23.0,23.0,10.0,13.0,6.0,3.0,2.0,1.0,1.0,4.0,
CANFINHOME,housing finance,,,,,,,,,,,,16.0,,3.0,,1.0,,,33.0,33.0,41.0,43.0,23.0,22.0,27.0,25.0,38.0,43.0,55.0,54.0,54.0,53.0,57.0,53.0,66.0,68.0,38.0,62.0,53.0,,56.0,61.0,74.0,84.0,75.0,59.0,51.0,40.0,41.0,42.0,48.0,41.0,25.0,21.0,13.0,6.0,
HOMEFIRST,housing finance,,,,,,,,,,,,54.0,,67.0,,65.0,,,65.0,57.0,63.0,69.0,67.0,66.0,29.0,27.0,40.0,44.0,56.0,56.0,49.0,49.0,63.0,50.0,66.0,68.0,45.0,66.0,25.0,,43.0,53.0,53.0,56.0,22.0,36.0,12.0,8.0,11.0,25.0,31.0,30.0,51.0,54.0,54.0,28.0,
REPCOHOME,housing finance,,,,,,,,,,,,71.0,,35.0,,18.0,,,26.0,28.0,30.0,28.0,24.0,26.0,13.0,14.0,44.0,44.0,54.0,55.0,51.0,49.0,33.0,40.0,13.0,32.0,13.0,20.0,45.0,,77.0,57.0,84.0,72.0,78.0,84.0,59.0,83.0,55.0,66.0,82.0,76.0,53.0,45.0,33.0,31.0,
INDIASHLTR,housing finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,63.0,53.0,31.0,24.0,41.0,,,,43.0,57.0,13.0,9.0,4.0,8.0,14.0,12.0,16.0,31.0,37.0,26.0,38.0,35.0,
PNBHOUSING,housing finance,,,,,,,,,,,,51.0,,36.0,,47.0,,,44.0,40.0,39.0,36.0,12.0,16.0,7.0,8.0,16.0,15.0,27.0,30.0,49.0,49.0,70.0,73.0,47.0,60.0,64.0,63.0,18.0,,48.0,54.0,49.0,32.0,39.0,24.0,15.0,14.0,12.0,31.0,88.0,67.0,65.0,54.0,43.0,48.0,
HUDCO,housing finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,24.0,6.0,2.0,2.0,11.0,9.0,4.0,1.0,3.0,12.0,24.0,,46.0,47.0,53.0,64.0,72.0,50.0,35.0,51.0,58.0,74.0,56.0,39.0,38.0,32.0,31.0,52.0,
LICHSGFIN,housing finance,,,,,,,,,,,,62.0,,55.0,,64.0,,,62.0,57.0,47.0,42.0,17.0,17.0,18.0,20.0,18.0,17.0,17.0,18.0,10.0,9.0,9.0,18.0,10.0,22.0,5.0,32.0,58.0,,66.0,66.0,81.0,65.0,75.0,52.0,43.0,64.0,60.0,66.0,63.0,57.0,62.0,58.0,57.0,53.0,
APTUS,housing finance,,,,,,,,,,,,82.0,,81.0,,87.0,,,75.0,72.0,75.0,75.0,66.0,64.0,54.0,55.0,60.0,63.0,54.0,52.0,28.0,27.0,37.0,59.0,60.0,63.0,64.0,78.0,67.0,,59.0,73.0,88.0,53.0,34.0,57.0,39.0,31.0,42.0,44.0,54.0,50.0,59.0,78.0,66.0,66.0,
AAVAS,housing finance,,,,,,,,,,,,80.0,,83.0,,84.0,,,82.0,80.0,82.0,79.0,78.0,75.0,74.0,80.0,79.0,78.0,88.0,87.0,77.0,77.0,80.0,85.0,61.0,48.0,43.0,69.0,60.0,,66.0,59.0,54.0,32.0,15.0,6.0,14.0,30.0,19.0,56.0,85.0,78.0,75.0,77.0,81.0,68.0,
IT Consulting & Software · Group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTIM,it consulting & software · group 1,,,,,,,,,,,,38.0,,23.0,,15.0,,,52.0,54.0,42.0,40.0,42.0,42.0,34.0,35.0,32.0,37.0,18.0,13.0,50.0,54.0,67.0,72.0,84.0,82.0,77.0,66.0,45.0,,57.0,37.0,59.0,30.0,56.0,73.0,58.0,62.0,50.0,64.0,55.0,44.0,33.0,24.0,18.0,18.0,
HCLTECH,it consulting & software · group 1,,,,,,,,,,,,26.0,,23.0,,21.0,,,54.0,53.0,33.0,32.0,34.0,33.0,16.0,17.0,22.0,22.0,20.0,19.0,15.0,16.0,16.0,31.0,66.0,64.0,66.0,43.0,33.0,,28.0,23.0,20.0,32.0,30.0,35.0,31.0,44.0,40.0,76.0,76.0,82.0,68.0,49.0,50.0,20.0,
PERSISTENT,it consulting & software · group 1,,,,,,,,,,,,10.0,,4.0,,12.0,,,46.0,47.0,17.0,16.0,9.0,9.0,3.0,4.0,13.0,12.0,3.0,3.0,8.0,9.0,8.0,20.0,66.0,57.0,29.0,23.0,15.0,,13.0,8.0,10.0,10.0,11.0,15.0,14.0,24.0,27.0,58.0,49.0,62.0,38.0,22.0,25.0,22.0,
CIGNITITEC,it consulting & software · group 1,,,,,,,,,,,,,,,,,,,,,,,,69.0,28.0,28.0,26.0,35.0,53.0,52.0,63.0,62.0,37.0,9.0,19.0,26.0,18.0,18.0,15.0,,50.0,20.0,18.0,28.0,20.0,27.0,38.0,35.0,19.0,23.0,24.0,31.0,21.0,16.0,42.0,28.0,
MPHASIS,it consulting & software · group 1,,,,,,,,,,,,66.0,,65.0,,71.0,,,61.0,54.0,31.0,31.0,30.0,31.0,47.0,52.0,44.0,42.0,13.0,12.0,42.0,44.0,45.0,53.0,65.0,63.0,67.0,54.0,33.0,,40.0,33.0,45.0,32.0,62.0,46.0,41.0,55.0,29.0,42.0,33.0,42.0,42.0,34.0,33.0,31.0,
ANGELONE,it consulting & software · group 1,,,,,,,,,,,,76.0,,66.0,,14.0,,,48.0,50.0,7.0,6.0,14.0,18.0,3.0,2.0,3.0,3.0,1.0,1.0,12.0,18.0,36.0,21.0,55.0,67.0,75.0,80.0,74.0,,63.0,65.0,53.0,53.0,53.0,56.0,70.0,23.0,35.0,39.0,68.0,83.0,67.0,53.0,69.0,33.0,
COFORGE,it consulting & software · group 1,,,,,,,,,,,,17.0,,14.0,,11.0,,,45.0,44.0,9.0,7.0,18.0,23.0,30.0,31.0,13.0,10.0,11.0,13.0,24.0,24.0,26.0,51.0,75.0,77.0,76.0,59.0,59.0,,14.0,11.0,9.0,15.0,12.0,10.0,17.0,18.0,15.0,23.0,22.0,32.0,25.0,21.0,53.0,35.0,
MASTEK,it consulting & software · group 1,,,,,,,,,,,,79.0,,71.0,,73.0,,,72.0,70.0,37.0,,,29.0,44.0,46.0,48.0,48.0,24.0,16.0,32.0,40.0,23.0,46.0,46.0,65.0,60.0,59.0,52.0,,47.0,26.0,45.0,60.0,62.0,68.0,82.0,79.0,74.0,66.0,60.0,66.0,81.0,73.0,84.0,69.0,
ZENSARTECH,it consulting & software · group 1,,,,,,,,,,,,36.0,,17.0,,24.0,,,6.0,5.0,5.0,5.0,10.0,13.0,17.0,17.0,17.0,15.0,9.0,9.0,34.0,36.0,44.0,17.0,21.0,31.0,22.0,25.0,29.0,,51.0,31.0,38.0,4.0,14.0,27.0,23.0,19.0,23.0,52.0,44.0,31.0,36.0,51.0,59.0,70.0,
LTTS,it consulting & software · group 1,,,,,,,,,,,,33.0,,37.0,,44.0,,,45.0,42.0,30.0,29.0,22.0,23.0,43.0,44.0,27.0,23.0,15.0,17.0,11.0,11.0,35.0,24.0,67.0,68.0,69.0,66.0,45.0,,70.0,51.0,70.0,32.0,49.0,63.0,61.0,77.0,71.0,84.0,84.0,83.0,80.0,54.0,44.0,84.0,
IT Consulting & Software · Group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHM,it consulting & software · group 2,,,,,,,,,,,,47.0,,41.0,,38.0,,,60.0,59.0,45.0,44.0,43.0,41.0,45.0,45.0,44.0,42.0,34.0,35.0,33.0,32.0,55.0,54.0,56.0,56.0,39.0,32.0,25.0,,30.0,22.0,24.0,19.0,17.0,33.0,24.0,36.0,25.0,60.0,57.0,57.0,68.0,49.0,35.0,15.0,
INFY,it consulting & software · group 2,,,,,,,,,,,,55.0,,61.0,,67.0,,,70.0,69.0,64.0,65.0,63.0,60.0,57.0,56.0,55.0,55.0,38.0,39.0,28.0,29.0,42.0,57.0,70.0,66.0,60.0,39.0,29.0,,47.0,31.0,31.0,27.0,25.0,43.0,48.0,62.0,61.0,81.0,82.0,76.0,74.0,54.0,46.0,35.0,
BSOFT,it consulting & software · group 2,,,,,,,,,,,,60.0,,44.0,,27.0,,,11.0,8.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,48.0,59.0,58.0,71.0,71.0,,95.0,86.0,93.0,83.0,95.0,96.0,90.0,97.0,94.0,96.0,97.0,94.0,92.0,78.0,51.0,47.0,
TATAELXSI,it consulting & software · group 2,,,,,,,,,,,,54.0,,54.0,,54.0,,,68.0,68.0,66.0,66.0,66.0,67.0,31.0,32.0,40.0,38.0,33.0,34.0,63.0,66.0,57.0,51.0,82.0,82.0,85.0,83.0,66.0,,86.0,91.0,77.0,68.0,76.0,92.0,65.0,57.0,62.0,65.0,88.0,80.0,81.0,83.0,71.0,57.0,
TCS,it consulting & software · group 2,,,,,,,,,,,,30.0,,40.0,,50.0,,,55.0,54.0,53.0,52.0,36.0,36.0,41.0,42.0,48.0,46.0,33.0,36.0,39.0,39.0,36.0,45.0,56.0,55.0,56.0,40.0,35.0,,68.0,43.0,51.0,43.0,63.0,60.0,56.0,79.0,80.0,95.0,95.0,96.0,90.0,78.0,65.0,57.0,
CYIENT,it consulting & software · group 2,,,,,,,,,,,,2.0,,4.0,,1.0,,,3.0,4.0,1.0,1.0,8.0,8.0,15.0,16.0,2.0,2.0,4.0,4.0,26.0,27.0,38.0,37.0,64.0,69.0,78.0,81.0,70.0,,79.0,75.0,72.0,79.0,86.0,88.0,93.0,90.0,95.0,91.0,94.0,91.0,91.0,92.0,85.0,58.0,
WIPRO,it consulting & software · group 2,,,,,,,,,,,,56.0,,57.0,,66.0,,,67.0,65.0,56.0,54.0,57.0,58.0,61.0,62.0,57.0,57.0,32.0,30.0,49.0,49.0,34.0,43.0,59.0,61.0,46.0,60.0,51.0,,29.0,24.0,29.0,12.0,15.0,28.0,46.0,59.0,58.0,75.0,71.0,73.0,76.0,57.0,48.0,65.0,
SONATSOFTW,it consulting & software · group 2,,,,,,,,,,,,1.0,,1.0,,4.0,,,2.0,2.0,5.0,6.0,8.0,8.0,2.0,2.0,4.0,5.0,7.0,8.0,5.0,7.0,8.0,29.0,54.0,85.0,82.0,66.0,76.0,,84.0,65.0,73.0,81.0,96.0,99.0,80.0,92.0,94.0,94.0,94.0,86.0,93.0,86.0,78.0,79.0,
KPITTECH,it consulting & software · group 2,,,,,,,,,,,,2.0,,1.0,,4.0,,,8.0,8.0,4.0,5.0,13.0,14.0,5.0,5.0,12.0,10.0,11.0,13.0,13.0,13.0,27.0,33.0,44.0,54.0,45.0,28.0,36.0,,85.0,88.0,75.0,67.0,82.0,62.0,58.0,59.0,86.0,88.0,86.0,91.0,79.0,60.0,61.0,81.0,
IT Consulting & Software · Group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECLERX,it consulting & software · group 3,,,,,,,,,,,,43.0,,19.0,,34.0,,,40.0,39.0,54.0,54.0,27.0,24.0,14.0,14.0,4.0,4.0,6.0,7.0,7.0,7.0,23.0,30.0,40.0,67.0,64.0,68.0,22.0,,34.0,17.0,21.0,20.0,19.0,30.0,54.0,16.0,20.0,11.0,6.0,10.0,2.0,10.0,6.0,5.0,
NETWEB,it consulting & software · group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,1.0,2.0,24.0,2.0,,6.0,17.0,18.0,54.0,76.0,78.0,90.0,75.0,91.0,46.0,33.0,2.0,5.0,18.0,20.0,10.0,
OFSS,it consulting & software · group 3,,,,,,,,,,,,21.0,,29.0,,34.0,,,45.0,43.0,27.0,25.0,43.0,43.0,50.0,53.0,50.0,53.0,51.0,48.0,19.0,14.0,5.0,1.0,25.0,21.0,1.0,2.0,5.0,,11.0,8.0,7.0,42.0,55.0,75.0,50.0,75.0,82.0,77.0,72.0,66.0,79.0,75.0,85.0,56.0,
NEWGEN,it consulting & software · group 3,,,,,,,,,,,,,,,,,,,,16.0,28.0,29.0,18.0,17.0,9.0,9.0,4.0,3.0,2.0,2.0,11.0,11.0,2.0,5.0,10.0,19.0,17.0,35.0,6.0,,21.0,29.0,3.0,29.0,30.0,47.0,59.0,27.0,63.0,89.0,84.0,90.0,84.0,88.0,94.0,97.0,
IT Consulting & Software · Group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMCOSYS,it consulting & software · group 4,,,,,,,,,,,,78.0,,83.0,,81.0,,,77.0,75.0,64.0,64.0,26.0,27.0,72.0,71.0,64.0,63.0,70.0,68.0,46.0,46.0,45.0,73.0,48.0,56.0,68.0,58.0,36.0,,,,31.0,40.0,59.0,40.0,31.0,25.0,36.0,43.0,23.0,11.0,4.0,11.0,11.0,18.0,
CAMS,it consulting & software · group 4,,,,,,,,,,,,57.0,,54.0,,64.0,,,66.0,65.0,62.0,61.0,45.0,46.0,59.0,59.0,29.0,24.0,44.0,51.0,29.0,29.0,32.0,36.0,25.0,20.0,21.0,16.0,30.0,,17.0,13.0,8.0,47.0,48.0,35.0,34.0,61.0,49.0,60.0,54.0,63.0,61.0,60.0,70.0,46.0,
FSL,it consulting & software · group 4,,,,,,,,,,,,20.0,,10.0,,28.0,,,10.0,10.0,8.0,9.0,5.0,5.0,13.0,15.0,9.0,9.0,9.0,10.0,14.0,14.0,24.0,27.0,28.0,53.0,40.0,10.0,22.0,,9.0,7.0,5.0,10.0,4.0,8.0,12.0,14.0,20.0,39.0,44.0,52.0,46.0,49.0,51.0,46.0,
IT Consulting & Software · Group 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDINGTON,it consulting & software · group 5,,,,,,,,,,,,17.0,,35.0,,39.0,,,46.0,46.0,71.0,74.0,77.0,76.0,76.0,77.0,78.0,76.0,71.0,68.0,63.0,62.0,37.0,29.0,38.0,50.0,54.0,59.0,64.0,,69.0,63.0,55.0,32.0,13.0,13.0,11.0,16.0,3.0,27.0,41.0,13.0,42.0,22.0,34.0,19.0,
ADANIENT,it consulting & software · group 5,,,,,,,,,,,,,,,,,,,,,,61.0,72.0,70.0,71.0,72.0,80.0,84.0,78.0,,,,,,,,,,,,66.0,90.0,82.0,89.0,77.0,75.0,77.0,66.0,52.0,61.0,76.0,58.0,63.0,48.0,53.0,57.0,
HAPPSTMNDS,it consulting & software · group 5,,,,,,,,,,,,75.0,,68.0,,66.0,,,78.0,77.0,80.0,78.0,81.0,75.0,76.0,76.0,78.0,76.0,74.0,72.0,73.0,73.0,73.0,81.0,78.0,76.0,80.0,79.0,76.0,,90.0,94.0,82.0,77.0,51.0,82.0,85.0,90.0,69.0,82.0,90.0,95.0,94.0,90.0,95.0,96.0,
IT Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTUM,it software products,,,,,,,,,,,,21.0,,18.0,,8.0,,,10.0,11.0,25.0,25.0,31.0,34.0,37.0,40.0,46.0,45.0,68.0,69.0,56.0,55.0,22.0,27.0,9.0,38.0,63.0,68.0,78.0,,,,27.0,38.0,88.0,43.0,44.0,7.0,14.0,18.0,3.0,5.0,13.0,30.0,30.0,16.0,
RATEGAIN,it software products,,,,,,,,,,,,25.0,,27.0,,11.0,,,13.0,10.0,2.0,1.0,3.0,4.0,1.0,2.0,11.0,13.0,7.0,6.0,5.0,8.0,23.0,35.0,56.0,49.0,57.0,53.0,73.0,,68.0,74.0,66.0,65.0,83.0,93.0,95.0,98.0,99.0,98.0,74.0,29.0,40.0,16.0,20.0,29.0,
INTELLECT,it software products,,,,,,,,,,,,83.0,,59.0,,57.0,,,33.0,33.0,23.0,22.0,24.0,27.0,23.0,23.0,28.0,28.0,19.0,20.0,33.0,30.0,3.0,6.0,17.0,42.0,37.0,65.0,66.0,,92.0,95.0,57.0,61.0,83.0,83.0,42.0,6.0,19.0,24.0,22.0,22.0,10.0,25.0,45.0,33.0,
TATATECH,it software products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,32.0,30.0,65.0,66.0,57.0,,,96.0,89.0,91.0,89.0,89.0,95.0,82.0,93.0,85.0,89.0,87.0,81.0,78.0,72.0,58.0,
CYIENTDLM,it software products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,50.0,51.0,41.0,44.0,67.0,,87.0,68.0,73.0,95.0,94.0,82.0,87.0,92.0,95.0,89.0,85.0,88.0,80.0,83.0,80.0,75.0,
ZAGGLE,it software products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,45.0,54.0,51.0,33.0,39.0,,18.0,4.0,6.0,6.0,29.0,36.0,59.0,38.0,53.0,66.0,47.0,76.0,62.0,68.0,80.0,90.0,
