theme_id,theme_name,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers,rank_coverage
UNCLASSIFIED::A::A,Unclassified - Cluster A,13,0.3183,"QPOWER, AIIL, AGARWALEYE, TRANSRAILL","ASHAPURMIN, KRN, IKS, AFCONS","AFCONS, KRN, IKS",rank_available
IND::Banks::A,Banks - Cluster A,12,0.289,"CSBBANK, IDFCFIRSTB, RBLBANK","EQUITASBNK, HDFCBANK, ICICIBANK","ICICIBANK, HDFCBANK, EQUITASBNK",rank_available
IND::Consumer Electronics,Consumer Electronics,12,0.0977,"CDSL, VOLTAS, BLUESTARCO","MAHSCOOTER, ORIENTELEC, SYMPHONY","ORIENTELEC, SYMPHONY, MAHSCOOTER",rank_available
IND::Electric Utilities::A,Electric Utilities - Cluster A,12,0.2644,"TATAPOWER, POWERGRID, NTPC","NLCINDIA, ADANIENSOL, ADANIGREEN","ADANIGREEN, ADANIENSOL, NLCINDIA",rank_available
IND::Other Electrical Equipment/Products::B,Other Electrical Equipment/Products - Cluster B,12,0.1715,"PREMIERENE, HAVELLS, POLYCAB","GRAVITA, KAYNES, HONAUT","HONAUT, KAYNES, GRAVITA",rank_available
IND::Other Industrial Products,Other Industrial Products,12,0.1465,"BHARATFORG, TIMKEN, HAPPYFORGE","SOLARINDS, JINDALSAW, PTCIL","PTCIL, SOLARINDS, JINDALSAW",rank_available
UNCLASSIFIED::B::B::A::B::B,Unclassified - Cluster B,12,,"ANTHEM, INDIQUBE, EBGNG, CRIZAC, BRIGHOTEL, ELLEN, HDBFS, SMARTWORKS, RAYMONDREL, ENRIN, MARATHON",ABLBL,"ABLBL, ANTHEM, INDIQUBE",rank_available
IND::Agrochemicals,Agrochemicals,11,0.1317,"SUMICHEM, PIIND, RALLIS","RAIN, ANURAS, UPL","UPL, RAIN, ANURAS",rank_available
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,11,0.2311,"LGBBROSLTD, MSUMI, CIEINDIA","SSWL, MINDACORP, PRICOLLTD","PRICOLLTD, MINDACORP, SSWL",rank_available
IND::Furniture-Furnishing-Paints,Furniture-Furnishing-Paints,11,0.0473,"ASIANPAINT, KANSAINER, KAJARIACER","SOMANYCERA, SFL, AGI","AGI, SOMANYCERA, SFL",rank_available
IND::Housing Finance,Housing Finance,10,0.1719,"CANFINHOME, HOMEFIRST, LICHSGFIN","INDIASHLTR, HUDCO, LTF","LTF, INDIASHLTR, HUDCO",rank_available
IND::IT Consulting & Software::B::B::A::B,IT Consulting & Software - Cluster B,10,0.2838,"MPHASIS, HCLTECH, LTIM","CIGNITITEC, MASTEK, ANGELONE","MASTEK, CIGNITITEC, ANGELONE",rank_available
IND::Industrial Machinery::A,Industrial Machinery - Cluster A,10,0.0752,"GODREJIND, WENDT, ISGEC","SHRIPISTON, GMMPFAUDLR, FLAIR","GMMPFAUDLR, FLAIR, SHRIPISTON",rank_available
IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals - Cluster A,10,0.1971,"FDC, DIVISLAB, BLUEJET","AARTIDRUGS, HIKAL, MARKSANS","MARKSANS, AARTIDRUGS, HIKAL",rank_available
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,9,0.2154,"SCHAEFFLER, UNOMINDA, EXIDEIND","CRAFTSMAN, DIVGIITTS, AUTOAXLES","AUTOAXLES, CRAFTSMAN, DIVGIITTS",rank_available
IND::Construction & Engineering,Construction & Engineering,9,0.0795,"AHLUCONT, POWERMECH, NCC","KNRCON, LT, PSPPROJECT","PSPPROJECT, KNRCON, LT",rank_available
IND::Healthcare Services,Healthcare Services,9,0.1765,"ETERNAL, LALPATHLAB, METROPOLIS","KRSNAA, MEDIASSIST, THYROCARE","MEDIASSIST, KRSNAA, THYROCARE",rank_available
IND::IT Consulting & Software::B::B::A::A,IT Consulting & Software - Cluster A,9,0.3311,"TCS, INFY, KPITTECH","WIPRO, CYIENT, SONATSOFTW","WIPRO, SONATSOFTW, CYIENT",rank_available
IND::Industrial Machinery::B,Industrial Machinery - Cluster B,9,0.0629,"INGERRAND, CUMMINSIND, KSB","KIRLPNU, JYOTICNC, PRAJIND","PRAJIND, JYOTICNC, KIRLPNU",rank_available
IND::Iron & Steel Products,Iron & Steel Products,9,0.0461,"TIIL, MIDHANI, LINDEINDIA","USHAMART, HITECH, VENUSPIPES","HITECH, VENUSPIPES, USHAMART",rank_available
IND::Other Industrial Goods,Other Industrial Goods,9,0.11,"ESABINDIA, HEG, TCI","RHIM, GRAPHITE, AIAENG","RHIM, GRAPHITE, AIAENG",rank_available
