theme_id,theme_name,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products - Cluster s,5,0.1708,MRF,JKTYRE,"JKTYRE, BALKRISIND, CEATLTD"
IND::Commercial Vehicles,Commercial Vehicles - Cluster s,5,0.1649,ESCORTS,TITAGARH,"TITAGARH, BEML, ASHOKLEY"
IND::Internet Software & Services::B::B,Internet Software & Services - Cluster B,5,0.1619,JUSTDIAL,TATACOMM,"TATACOMM, INDUSTOWER, INDIAMART"
IND::Houseware,Houseware - Cluster e,5,0.156,PNGJL,LAOPALA,"LAOPALA, BORORENEW, TTKPRESTIG"
IND::Transportation - Logistics,Transportation - Logistics - Cluster s,5,0.0039,DELHIVERY,VRLLOG,"VRLLOG, GATEWAY, MAHLOG"
UNCLASSIFIED::A::A::A::A,Unclassified - Cluster A,4,0.7853,AGARWALEYE,IKS,"IKS, KRN, QPOWER"
IND::Realty::B::A::B::A,Realty - Cluster A,4,0.6046,PRESTIGE,GODREJPROP,"GODREJPROP, BRIGADE, SIGNATURE"
IND::Banks::A::A::A,Banks - Cluster A,4,0.4972,CSBBANK,AUBANK,"AUBANK, RBLBANK, IDFCFIRSTB"
THEME::Cdmo,Cdmo - Cluster o,4,0.4623,SAILIFE,ACUTAAS,"ACUTAAS, GODIGIT, SENORES"
IND::2/3 Wheelers,2/3 Wheelers - Cluster s,4,0.437,TVSMOTOR,EICHERMOT,"EICHERMOT, BAJAJ-AUTO, HEROMOTOCO"
IND::Banks::B::A,Banks - Cluster A,4,0.388,AXISBANK,BANDHANBNK,"BANDHANBNK, KARURVYSYA, UJJIVANSFB"
IND::Shipping,Shipping - Cluster g,4,0.3056,MAZDOCK,ENGINERSIN,"ENGINERSIN, GESHIP, GRSE"
UNCLASSIFIED::B::A::A,Unclassified - Cluster A,4,0.3031,HYUNDAI,STLTECH,"STLTECH, UNIMECH, SANOFICONR"
IND::Refineries/Petro-Products::B,Refineries/Petro-Products - Cluster B,4,0.2862,BPCL,GMDCLTD,"GMDCLTD, COALINDIA, HINDPETRO"
IND::Mining,Mining - Cluster g,4,0.276,MOIL,TEGA,"TEGA, NMDC, SANDUMA"
IND::Pharmaceuticals::B::A::B::A::A,Pharmaceuticals - Cluster A,4,0.2698,FDC,ERIS,"ERIS, SYNGENE, AARTIDRUGS"
IND::Housing Finance::B,Housing Finance - Cluster B,4,0.2439,HOMEFIRST,APTUS,"APTUS, CANFINHOME, INDIASHLTR"
IND::Consumer Electronics::A,Consumer Electronics - Cluster A,4,0.2407,AMBER,EMIL,"EMIL, MAHSCOOTER, DIXON"
IND::IT Consulting & Software::B::B::B,IT Consulting & Software - Cluster B,4,0.1887,OFSS,ECLERX,"ECLERX, NETWEB, NEWGEN"
IND::Footwear,Footwear - Cluster r,4,0.1736,BATAINDIA,REDTAPE,"REDTAPE, METROBRAND, CAMPUS"
IND::Gems & Jewellery,Gems & Jewellery - Cluster y,4,0.1689,THANGAMAYL,SENCO,"SENCO, KALYANKJIL, TITAN"
IND::Other Apparels & Accessories::B,Other Apparels & Accessories - Cluster B,4,0.1661,SPAL,PAGEIND,"PAGEIND, GOCOLORS, ARVINDFASN"
IND::Industrial Machinery::A::B,Industrial Machinery - Cluster B,4,0.1594,FLAIR,GMMPFAUDLR,"GMMPFAUDLR, GODREJIND, SHRIPISTON"
IND::Electric Utilities::B,Electric Utilities - Cluster B,4,0.1401,KPIL,INOXGREEN,"INOXGREEN, INOXWIND, TECHNOE"
IND::Pharmaceuticals::A,Pharmaceuticals - Cluster A,4,0.126,PGHL,NEULANDLAB,"NEULANDLAB, AMRUTANJAN, SUPRIYA"
IND::Roads & Highways,Roads & Highways - Cluster s,4,0.1072,IRB,GRINFRA,"GRINFRA, ASHOKA, PNCINFRA"
UNCLASSIFIED::A::A::A::B,Unclassified - Cluster B,3,0.5849,PENIND,TRANSRAILL,"TRANSRAILL, AFCONS, PENIND"
IND::Realty::B::A::B::B,Realty - Cluster B,3,0.502,OBEROIRLTY,DLF,"DLF, ABREL, OBEROIRLTY"
IND::Realty::B::A::A,Realty - Cluster A,3,0.4758,PHOENIXLTD,SOBHA,"SOBHA, LODHA, PHOENIXLTD"
IND::Cement & Cement Products::A::A,Cement & Cement Products - Cluster A,3,0.4513,AMBUJACEM,ACC,"ACC, GRASIM, AMBUJACEM"
