theme_id,theme_name,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank_norm,obs_months
IND::Commercial Vehicles,Commercial Vehicles - Cluster s,TITAGARH,B,7.4794,0.4148,0.2822,0.3455,0.4366,48
IND::Plastic Products,Plastic Products - Cluster s,SUPREMEIND,A,-0.3997,0.6272,0.0502,0.3081,0.5043,50
IND::Plastic Products,Plastic Products - Cluster s,FINPIPE,A,-0.3548,0.384,0.0732,0.2512,0.6308,50
IND::Plastic Products,Plastic Products - Cluster s,ASTRAL,Core,-0.1002,0.4054,0.133,0.2684,0.6143,50
IND::Plastic Products,Plastic Products - Cluster s,PRINCEPIPE,Core,-0.0404,0.1162,0.1687,0.1968,0.813,50
IND::Plastic Products,Plastic Products - Cluster s,NILKAMAL,Core,-0.0175,0.3363,0.1939,0.232,0.7097,49
IND::Plastic Products,Plastic Products - Cluster s,TIMETECHNO,B,0.7068,0.0879,0.3602,0.218,0.2501,48
IND::Plastic Products,Plastic Products - Cluster s,SHAILY,B,1.6322,0.1479,0.5549,0.2909,0.0646,50
IND::Defence,Defence - Cluster e,BDL,A,-1.2044,0.6305,0.0961,0.2288,0.2921,50
IND::Defence,Defence - Cluster e,ASTRAMICRO,A,-0.6947,0.516,0.0639,0.143,0.2459,48
IND::Defence,Defence - Cluster e,HAL,Core,-0.6239,0.525,0.0799,0.1645,0.204,50
IND::Defence,Defence - Cluster e,BEL,Core,-0.2488,0.5066,0.1754,0.0792,0.1334,50
IND::Defence,Defence - Cluster e,DATAPATTNS,Core,0.0716,0.5062,0.134,0.2584,0.3809,50
IND::Defence,Defence - Cluster e,ZENTEC,Core,0.5405,0.4747,0.1636,0.2816,0.3547,38
IND::Defence,Defence - Cluster e,CONCOR,B,2.6641,0.3218,0.3966,0.1896,0.7206,50
IND::Defence,Defence - Cluster e,MTARTECH,B,3.0909,0.2836,0.3343,0.3369,0.6372,50
IND::Other Food Products,Other Food Products - Cluster s,AVANTIFEED,A,-0.5059,0.446,0.0304,0.269,0.4885,50
IND::Other Food Products,Other Food Products - Cluster s,EIDPARRY,Core,0.1686,0.4106,0.0551,0.3024,0.3074,50
