Symbol,Theme,source,confidence,reason,sector_mode,industry_mode,debug_theme,industry_obs,industry_mode_share,sector_obs,sector_mode_share,locked,rank_move_corr,rank_resid,rank_obs_months,needs_review,review_reasons,review_priority
LUMAXIND,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,25,1.0,25,1.0,False,0.4332623277875652,0.14,46,False,,7.0
LUMAXTECH,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,27,1.0,27,1.0,False,-0.00177639096331284,0.2175,50,True,rank_moves_diverge_from_theme,17.0
MINDACORP,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.28721649615790584,0.1925,50,False,,7.0
MOTHERSON,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,27,1.0,27,1.0,False,0.4694474677014681,0.14,50,False,,7.0
MSUMI,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,27,1.0,27,1.0,False,0.42603323232094326,0.14,50,False,,7.0
PRICOLLTD,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.15264573570657394,0.1875,50,False,,7.0
ROLEXRINGS,Auto Components,industry_mode,0.93,industry_history,Industrials,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.1675909290751586,0.285,50,True,high_rank_residual,15.0
SANDHAR,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.15987266223032262,0.07,48,False,,7.0
SANSERA,Auto Components,industry_mode,0.93,industry_history,Industrials,Auto Parts & Equipment,Engineering,27,1.0,27,1.0,False,0.09907875555967188,0.0875,50,False,,7.0
SCHAEFFLER,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.4360929383327338,0.1325,50,False,,7.0
SJS,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,27,1.0,27,1.0,False,0.12763375203041066,0.1975,50,False,,7.0
SONACOMS,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.13295125268355715,0.185,50,False,,7.0
SSWL,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,23,1.0,23,1.0,False,0.17583669592978418,0.185,46,False,,7.0
SUBROS,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.06931495463581014,0.155,50,False,,7.0
SUNCLAY,Auto Components,industry_mode,0.78,industry_history,Industrials,Auto Parts & Equipment,,9,1.0,9,1.0,False,-0.34544968179172053,0.29,30,True,rank_moves_diverge_from_theme;high_rank_residual,40.0
SUPRAJIT,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.1682642745322871,0.095,50,False,,7.0
TIINDIA,Auto Components,industry_mode,0.93,industry_history,Industrials,Auto Parts & Equipment,,27,1.0,27,0.778,False,0.3423463383878195,0.23,50,True,high_rank_residual,15.0
TVSHLTD,Auto Components,industry_mode,0.86,industry_history,Consumer Cyclical,Auto Parts & Equipment,,10,1.0,10,1.0,False,0.547963922557462,0.14,33,False,,14.0
UNOMINDA,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.33266223637581643,0.145,50,False,,7.0
VARROC,Auto Components,industry_mode,0.93,industry_history,Consumer Cyclical,Auto Parts & Equipment,,27,1.0,27,1.0,False,0.08802918721739415,0.1575,50,False,,7.0
