Symbol,Theme,source,confidence,sector_mode,industry_mode,debug_theme,locked,rank_move_corr,rank_resid,rank_obs,needs_review,review_reasons,review_priority,ff_mcap_med
AUTOAXLES,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.3725340134643365,0.25,48,True,rank_residual_flag,14.0,823.56
GREAVESCOT,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.92,Industrials,Auto Parts & Equipment,,False,-0.2083899890661593,0.26,38,True,rank_divergence_flag;rank_residual_flag,22.0,1678.5
ROLEXRINGS,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.92,Industrials,Auto Parts & Equipment,,False,0.1664162792547301,0.27,50,True,rank_residual_flag,14.0,1537.87
SSWL,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2867606220078492,0.175,46,False,,8.0,1250.7
SUNCLAY,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.78,Industrials,Auto Parts & Equipment,,False,-0.2497023543423608,0.3,30,True,rank_divergence_flag;rank_residual_flag,36.0,1118.18
SUPRAJIT,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2166126473996686,0.085,50,False,,8.0,3393.76
TIINDIA,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.92,Industrials,Auto Parts & Equipment,,False,0.3386625181458933,0.21,50,False,,8.0,25282.9
TVSHLTD,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.86,Consumer Cyclical,Auto Parts & Equipment,,False,0.5049751654202058,0.19,33,False,,14.0,7781.83
WHEELS,Auto Components - Driveline / Chassis,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.3113208576437989,0.145,48,False,,8.0,776.8
BOSCHLTD,Auto Components - EV / Advanced Tech,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.0606278039728206,0.12,50,False,,8.0,31713.42
EXIDEIND,Auto Components - EV / Advanced Tech,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.206653436084964,0.26,50,True,rank_residual_flag,14.0,14773.38
JTEKTINDIA,Auto Components - EV / Advanced Tech,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.3849379876499372,0.13,50,False,,8.0,949.88
SCHAEFFLER,Auto Components - EV / Advanced Tech,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.3274813551325287,0.1325,50,False,,8.0,14620.93
SONACOMS,Auto Components - EV / Advanced Tech,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.1005474690996981,0.165,50,False,,8.0,22199.02
UNOMINDA,Auto Components - EV / Advanced Tech,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2035612068742203,0.155,50,False,,8.0,21566.36
ZFCVINDIA,Auto Components - EV / Advanced Tech,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.1218398290969841,0.165,50,False,,8.0,11370.21
ENTERO,B2B Distribution Platforms,theme_park_manual|first_principles_bizmodel,0.95,,,Unique Biz Models,False,0.557787151102925,0.0675,20,False,,6.0,2293.22
REDINGTON,B2B Distribution Platforms,industry_mode|tiny_to_sector|first_principles_bizmodel,0.88,Technology,Commodity Trading & Distribution,,False,0.4681511263653194,0.15,50,False,,35.0,21225.3
RPTECH,B2B Distribution Platforms,legacy_fallback|first_principles_high|first_principles_bizmodel,0.84,,,,False,0.6292172190244743,0.135,20,False,,75.0,854.06
BANDHANBNK,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.2292563645215164,0.2675,50,True,rank_residual_flag,14.0,15016.93
BANKINDIA,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.606642011173391,0.08,50,False,,8.0,19894.85
CSBBANK,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.404751212607506,0.065,50,False,,8.0,4561.82
DCBBANK,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.4535250747885089,0.125,50,False,,8.0,5394.74
EQUITASBNK,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.2967116286330812,0.14,50,False,,8.0,8000.12
IDBI,Banks,industry_mode,0.68,Financial Services,Banks,,False,0.6413215698932277,0.07,25,True,low_fundamental_confidence,32.0,5661.25
J&KBANK,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.5103088570294967,0.105,50,False,,8.0,4681.37
KTKBANK,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.4783190930284525,0.0825,50,False,,8.0,6884.51
SOUTHBANK,Banks,industry_mode,0.92,Financial Services,Banks,,False,0.6368469875435299,0.0475,50,False,,8.0,9833.04
ADVENZYMES,Basic Materials - Diversified,industry_mode|tiny_to_sector,0.65,Basic Materials,Biotechnology,,False,0.4211386074531826,0.09,50,True,low_fundamental_confidence,35.0,1890.3
EIDPARRY,Basic Materials - Diversified,industry_mode|tiny_to_sector,0.65,Basic Materials,Other Food Products,,False,0.1744055884632965,0.295,50,True,low_fundamental_confidence;rank_residual_flag,41.0,9632.29
LINDEINDIA,Basic Materials - Diversified,industry_mode|tiny_to_sector,0.65,Basic Materials,Industrial Gases,,False,0.2416265296689004,0.135,50,True,low_fundamental_confidence,35.0,12786.58
RAIN,Basic Materials - Diversified,industry_mode|tiny_to_sector,0.65,Basic Materials,Petrochemicals,,False,0.3849515200176063,0.235,36,True,low_fundamental_confidence;rank_residual_flag,41.0,3064.8
SPLPETRO,Basic Materials - Diversified,industry_mode|tiny_to_sector,0.65,Basic Materials,Petrochemicals,,False,0.4126864663499165,0.11,50,True,low_fundamental_confidence,35.0,3836.16
ACUTAAS,CDMO,theme_park_manual,0.94,,,Cdmo,False,0.6885497934407162,0.0,12,False,,6.0,10533.65
LAURUSLABS,CDMO,theme_park_manual,0.94,Healthcare,Pharmaceuticals,Cdmo,False,0.9491955873936178,0.0,50,False,,6.0,37841.02
ONESOURCE,CDMO,manual_lock,0.99,,,Pharma,True,-0.0509062224657395,0.38,10,True,rank_divergence_flag;rank_residual_flag,15.0,9615.64
SAILIFE,CDMO,theme_park_manual,0.94,,,Cdmo,False,0.5748512146580929,0.08,11,False,,6.0,11517.46
SENORES,CDMO,theme_park_manual,0.94,,,Cdmo,False,0.8299872212475422,0.02,11,False,,6.0,1971.12
APARINDS,Cables & Wires,theme_park_manual,0.94,Industrials,Other Electrical Equipment/Products,CABLES,False,0.5216676552968347,0.06,50,False,,6.0,13575.37
FINCABLES,Cables & Wires,theme_park_manual,0.94,Industrials,Other Electrical Equipment/Products,CABLES,False,0.4846692085975903,0.215,50,False,,6.0,7086.92
KEI,Cables & Wires,theme_park_manual,0.94,Industrials,Other Electrical Equipment/Products,CABLES,False,0.7971034904387906,0.03,50,False,,6.0,24976.36
POLYCAB,Cables & Wires,theme_park_manual,0.94,Industrials,Other Electrical Equipment/Products,CABLES,False,0.7181921568673719,0.035,50,False,,6.0,40675.91
RRKABEL,Cables & Wires,theme_park_manual,0.94,Industrials,Other Electrical Equipment/Products,CABLES,False,0.3897987551644242,0.11,32,False,,6.0,5949.31
BSE,Capital Market Infrastructure,theme_park_manual,0.94,Financial Services,Exchange,Exchanges,False,0.3708416872996183,0.185,46,False,,6.0,113921.55
CAMS,Capital Market Infrastructure,theme_park_manual,0.94,Technology,Capital Markets,Exchanges,False,0.5493957533334382,0.1225,50,False,,6.0,17236.78
CDSL,Capital Market Infrastructure,manual_lock,0.99,Financial Services,Investment Companies,Exchanges,True,0.6859568066119783,0.055,50,False,,1.0,23453.35
IEX,Capital Market Infrastructure,theme_park_manual,0.94,Financial Services,Exchange,Exchanges,False,0.1721349724782819,0.2925,50,True,rank_residual_flag,12.0,11312.87
KFINTECH,Capital Market Infrastructure,theme_park_manual,0.94,Technology,Other Financial Services,Exchanges,False,0.5533777259093706,0.075,50,False,,6.0,13492.89
MCX,Capital Market Infrastructure,theme_park_manual,0.94,Financial Services,Exchange,Exchanges,False,0.4535148325654297,0.1325,50,False,,6.0,64355.32
ACC,Cement - Large Integrated,industry_mode|granular_split,0.92,Basic Materials,Cement & Cement Products,,False,0.230997106835747,0.285,50,True,rank_residual_flag,14.0,13319.36
AMBUJACEM,Cement - Large Integrated,industry_mode|granular_split,0.92,Basic Materials,Cement & Cement Products,,False,0.3664209294046632,0.185,50,False,,8.0,40759.35
DALBHARAT,Cement - Large Integrated,theme_park_manual|granular_split,0.94,Basic Materials,Cement & Cement Products,Cement,False,0.5462801434973089,0.13,50,False,,6.0,17113.33
GRASIM,Cement - Large Integrated,industry_mode|granular_split,0.92,Basic Materials,Cement & Cement Products,,False,0.3564892375688894,0.095,50,False,,8.0,108878.17
SHREECEM,Cement - Large Integrated,theme_park_manual|granular_split,0.94,Basic Materials,Cement & Cement Products,Cement,False,0.4490406021074188,0.095,50,False,,6.0,36452.74
ULTRACEMCO,Cement - Large Integrated,theme_park_manual|granular_split,0.94,Basic Materials,Cement & Cement Products,Cement,False,0.3433250313017336,0.135,50,False,,6.0,152252.23
BIRLACORPN,Cement - Regional / Midcap,industry_mode|granular_split,0.92,Basic Materials,Cement & Cement Products,,False,0.3823960427095236,0.14,50,False,,8.0,3014.62
INDIACEM,Cement - Regional / Midcap,industry_mode|granular_split,0.86,Basic Materials,Cement & Cement Products,,False,-0.1023328733730566,0.19,33,True,rank_divergence_flag,22.0,3547.19
JKCEMENT,Cement - Regional / Midcap,theme_park_manual|granular_split,0.94,Basic Materials,Cement & Cement Products,Cement,False,0.5428390366012292,0.155,50,False,,6.0,23202.51
JKLAKSHMI,Cement - Regional / Midcap,theme_park_manual|granular_split,0.94,Basic Materials,Cement & Cement Products,Cement,False,0.4814359368351613,0.06,50,False,,6.0,5281.56
NUVOCO,Cement - Regional / Midcap,industry_mode|granular_split,0.92,Basic Materials,Cement & Cement Products,,False,0.3867669561071803,0.125,50,False,,8.0,3469.71
RAMCOCEM,Cement - Regional / Midcap,industry_mode|granular_split,0.92,Basic Materials,Cement & Cement Products,,False,0.3287845841521315,0.09,50,False,,8.0,15188.05
STARCEMENT,Cement - Regional / Midcap,industry_mode|granular_split,0.92,Basic Materials,Cement & Cement Products,,False,0.4320621482924921,0.04,50,False,,8.0,3770.01
ASHOKLEY,Commercial Vehicles,theme_park_manual,0.94,Industrials,Commercial Vehicles,CV,False,0.4479928556404604,0.07,50,False,,6.0,56209.63
BEML,Commercial Vehicles,industry_mode,0.92,Industrials,Commercial Vehicles,,False,0.4037514346513377,0.105,50,False,,8.0,6868.45
ESCORTS,Commercial Vehicles,industry_mode,0.92,Industrials,Commercial Vehicles,,False,0.5556465398915326,0.115,50,False,,8.0,12091.74
FORCEMOT,Commercial Vehicles,theme_park_manual,0.94,Consumer Cyclical,Cars & Utility Vehicles,CV,False,0.3446463385402026,0.08,50,False,,6.0,9698.35
VSTTILLERS,Commercial Vehicles,industry_mode,0.92,Industrials,Commercial Vehicles,,False,0.3382900625889514,0.07,50,False,,8.0,2100.77
ACI,Commodity Chemicals,industry_mode,0.92,Basic Materials,Commodity Chemicals,,False,0.626693686329465,0.07,50,False,,8.0,3252.46
DEEPAKNTR,Commodity Chemicals,industry_mode,0.92,Basic Materials,Commodity Chemicals,,False,0.4142879765477264,0.17,50,False,,8.0,11351.02
GHCL,Commodity Chemicals,industry_mode,0.92,Basic Materials,Commodity Chemicals,,False,0.172516321826438,0.09,43,False,,8.0,3914.77
INDIAGLYCO,Commodity Chemicals,industry_mode,0.92,Basic Materials,Commodity Chemicals,,False,0.5239893526031156,0.3025,44,True,rank_residual_flag,14.0,2381.66
TATACHEM,Commodity Chemicals,industry_mode,0.92,Basic Materials,Commodity Chemicals,,False,0.0624581103727111,0.1,50,False,,8.0,11770.84
TIRUMALCHM,Commodity Chemicals,industry_mode,0.92,Basic Materials,Commodity Chemicals,,False,0.6898611193546861,0.07,38,False,,8.0,1446.95
MPSLTD,Communication Services - Diversified,industry_mode|tiny_to_sector,0.65,Communication Services,Publishing,,False,0.4528192487309007,0.165,25,True,low_fundamental_confidence,35.0,1012.58
RAILTEL,Communication Services - Diversified,industry_mode|tiny_to_sector,0.65,Communication Services,Telecom Services,,False,0.4634971581687371,0.105,46,True,low_fundamental_confidence,35.0,3079.58
SUNTV,Communication Services - Diversified,industry_mode|tiny_to_sector,0.65,Communication Services,Broadcasting & Cable TV,,False,0.5563994182172753,0.0375,50,True,low_fundamental_confidence,35.0,5478.87
ZEEL,Communication Services - Diversified,industry_mode|tiny_to_sector,0.65,Communication Services,Broadcasting & Cable TV,,False,0.6200204991226249,0.215,50,True,low_fundamental_confidence,35.0,7741.97
CARYSIL,Consumer Cyclical - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Cyclical,Household Products,,False,0.5114382120468938,0.2325,48,True,low_fundamental_confidence;rank_residual_flag,41.0,1329.01
MAHSCOOTER,Consumer Cyclical - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Cyclical,Investment Companies,,False,0.4167465826077228,0.15,50,True,low_fundamental_confidence,35.0,7534.74
SENCO,Consumer Cyclical - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Cyclical,Gems & Jewellery,,False,0.558692251236421,0.1875,32,True,low_fundamental_confidence,35.0,1791.25
THOMASCOOK,Consumer Cyclical - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Cyclical,Travel Support Services,,False,0.6158701902957054,0.14,50,True,low_fundamental_confidence,35.0,2084.86
AVANTIFEED,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Other Food Products,,False,0.1925875638308982,0.1675,50,True,low_fundamental_confidence,35.0,6165.3
BALRAMCHIN,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Sugar,,False,0.505717500573803,0.09,50,True,low_fundamental_confidence,35.0,4855.61
CCL,Consumer Defensive - Diversified,industry_mode|tiny_to_sector,0.65,Consumer Defensive,Tea & Coffee,,False,0.3738573098745925,0.105,50,True,low_fundamental_confidence,35.0,6986.54
