Symbol,sector_mode,sector_obs,sector_mode_share,industry_mode,industry_obs,industry_mode_share,industry_variants,debug_theme,has_sector,has_industry,has_debug
GOCOLORS,Consumer Cyclical,27,1.0,Other Apparels & Accessories,27,1.0,1,,True,True,False
GODFRYPHLP,Consumer Defensive,27,1.0,Cigarettes-Tobacco Products,27,1.0,1,Sin Stocks,True,True,True
GODIGIT,,0,0.0,,0,0.0,0,Insurance,False,False,True
GODREJAGRO,Consumer Defensive,27,1.0,Other Agricultural Products,27,1.0,1,,True,True,False
GODREJCP,Consumer Defensive,27,1.0,Personal Products,27,1.0,1,FMCG,True,True,True
GODREJIND,Industrials,27,1.0,Diversified,27,1.0,1,,True,True,False
GODREJPROP,Real Estate,27,1.0,Realty,27,1.0,1,Real Estate,True,True,True
GOKEX,Consumer Cyclical,27,1.0,Textiles,27,1.0,1,,True,True,False
GPIL,Basic Materials,17,1.0,Iron & Steel/Interm.Products,17,1.0,1,,True,True,False
GPPL,Industrials,27,1.0,Marine Port & Services,27,1.0,1,,True,True,False
GRANULES,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,,True,True,False
GRAPHITE,Industrials,27,1.0,Other Industrial Goods,27,1.0,1,Electrodes,True,True,True
GRASIM,Basic Materials,27,1.0,Cement & Cement Products,27,1.0,1,,True,True,False
GRAVITA,Industrials,15,1.0,Other Non-Ferrous Metals,15,1.0,1,Recyclers,True,True,True
GREAVESCOT,Industrials,15,1.0,Auto Parts & Equipment,15,1.0,1,,True,True,False
GREENLAM,Consumer Cyclical,27,1.0,Furniture-Furnishing-Paints,27,1.0,1,,True,True,False
GREENPANEL,Basic Materials,27,0.9629629629629629,Forest Products,27,1.0,1,,True,True,False
GREENPLY,Basic Materials,27,1.0,Forest Products,27,1.0,1,,True,True,False
GRINDWELL,Industrials,27,1.0,Other Industrial Products,27,1.0,1,,True,True,False
GRINFRA,Industrials,27,1.0,Roads & Highways,27,1.0,1,,True,True,False
