symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
CENTUM,38,1796.9,955.799625,38.95,14.19,8.06,2317.09,58.75,47,20,49,115.484515
GRANULES,38,565.1,8382.59487,53.45,-12.93,34.55,13708.25,38.85,29,61,25,115.443588
JCHAC,38,1690.55,1181.44348,44.32,-8.72,38.62,4588.13,74.25,40,52,22,114.026755
KPRMILL,38,929.05,9281.04956,46.36,-1.75,17.65,31654.33,70.68,37,40,38,115.283909
KALYANKJIL,38,505.45,19390.8697,37.82,-6.5,45.29,52196.15,62.85,48,48,18,115.269505
METROBRAND,38,1236.25,9442.92484,55.95,-5.5,14.21,33640.63,71.93,26,47,41,113.626727
NIITMTS,38,477.85,4278.35772,48.38,3.68,7.35,6529.85,34.48,34,32,49,115.676989
PIDILITIND,38,2947.25,45577.6165,48.25,-3.53,17.17,149926.37,69.6,34,43,38,115.816868
POLYCAB,38,5845.7,32506.7514,47.53,-8.85,33.35,87974.97,63.05,35,53,25,113.187948
SHK,38,209.38,1285.77604,26.52,13.95,25.19,2897.85,55.63,63,20,30,113.299437
UNIVCABLES,38,657.5,863.145768,49.66,-11.05,31.26,2264.88,61.89,33,57,26,116.011999
AADHARHFC,39,394.95,4127.5867,45.8,-1.85,NA,17013.96,75.74,38,41,41,118.808788
AGARIND,39,1120.45,719.17268,57.09,-0.22,2.22,1680.31,57.2,25,38,54,116.833099
BFUTILITIE,39,799.6,1307.9216,33.85,6.28,20.34,3022,56.72,52,29,35,116.700257
CGPOWER,39,612,39245.2124,42.23,-8.46,36.61,93574.66,58.06,42,52,24,117.998015
HIMATSEIDE,39,165.06,1302.78413,43.18,18.42,-3.95,2076.15,37.25,41,17,61,119.233566
INOXGREEN,39,158.32,2563.13324,42.92,-2.4,21.23,5816.05,55.93,41,41,35,117.292689
JMFINANCIL,39,112.31,4681.99734,43.38,13.89,0.55,10745.92,56.43,41,21,57,117.861324
NPST,39,2277.35,1432.91412,49.57,-22.73,133.3,4415.76,67.55,33,82,4,118.985719
REDTAPE,39,726.25,2829.78258,42.66,4.8,11.72,10034.69,71.8,42,31,44,117.178164
ROTO,39,273.1,572.113172,55.05,-12.14,22.81,1713.94,66.62,27,59,33,117.998777
