symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
OSWALAGRO,9,89.6,638.7539700000001,69.41,28.79,105.03,1202.7,46.89,26,9,5,39.864709916373386
POONAWALLA,9,466.05,13606.660956000002,99.25,48.38,13.92,36313.48,62.53,1,4,34,39.130632910012835
ZOTA,9,974.5,1201.384255,80.94,22.26,72.14,2867.95,58.11,17,13,8,38.28304586657511
ASKAUTOLTD,10,534.5,2219.5793599999997,93.76,13.19,47.39,10544.32,78.95,7,20,14,41.315967045600075
BDL,10,1943.2,17844.723212999994,87.29,71.4,21.71,71179.59,74.93,12,2,27,41.21064958074224
CARTRADE,10,1700.7,8074.01,83.22,12.3,118.14,8074.01,0,15,22,4,40.75745365602381
COSMOFIRST,10,1164,1800.0863920000002,81.68,26.56,47.91,3049.96,40.98,16,10,14,40.88821960040815
ERIS,10,1683.8,10330.78053,75.49,26.48,64.52,22881.02,54.85,22,11,10,42.1808208065251
INSECTICID,10,967.95,794.9900000000001,78.9,41.04,39.76,2870,72.3,19,6,17,41.86698469059934
LTF,10,206.01,17375.022880000004,97.72,49.54,13.71,51466.3,66.24,3,4,34,40.58325069201663
MAZDOCK,10,3244.3,19880.949446000002,71.31,44.59,51.55,131054.38,84.83,25,4,12,41.49480671892785
"NAVA",10,606.75,8798.549139,79.32,21.35,62.62,17642.97,50.13,18,14,10,42.42256285888786
SBFC,10,112.13,5697.38026,87.3,24.89,36.18,12207.8,53.33,12,12,19,42.21135985134704
SJS,10,1283.1,3151.9364760000003,89.06,13.26,64.13,4020.84,21.61,10,20,10,40.67257641147738
DBREALTY,10,234.48,6649.411038,91.94,28.98,26.03,12634.26,47.37,8,9,24,41.50155678986347
VINCOFE,10,133.07,1052.922024,86.77,10.85,97.61,1693.89,37.84,12,24,6,42.18717479017327
63MOONS,11,1001.55,2508.8003470000003,89.76,5.47,172.83,4614.31,45.63,10,31,2,43.01428883957889
BAJAJFINSV,11,2056,129338.44468000002,87.09,30.42,29.46,328687.28,60.65,12,9,22,42.56128360872563
CUPID,11,107.52,1659.194688,90.51,41.27,18.15,2886.56,42.52,9,5,30,44.75166964462546
DALBHARAT,11,2207.6,18296.048831999997,96.03,24.66,21.73,41431.27,55.84,4,12,27,43.06604008884496
HOMEFIRST,11,1378.5,12488.290232000001,80.41,31.91,33.12,14267.44,12.47,17,8,19,44.34982642242666
IDBI,11,103.43,5887.768942000007,89.19,34.64,23.17,111299.98,94.71,10,7,26,43.1789563095729
NESCO,11,1164.65,2582.5702759999995,95.63,18.71,26.11,8209.06,68.54,4,15,24,43.77655410556073
PRIVISCL,11,2270.5,2308.22136,74.5,26.96,56.92,8894.88,74.05,22,10,11,43.36232224535452
RAMRAT,11,678.45,807.6645090000001,78.79,18.17,76.54,2988.03,72.97,19,16,8,42.729597655616665
SBICARD,11,953.1,28425.082360000004,79.82,40.62,31.53,90525.74,68.6,18,6,21,44.059157838022145
TIL,11,394.35,833.5963789999997,84.87,32.29,27.72,2640.47,68.43,14,8,23,44.697610050125135
WELCORP,11,924.5,12165.646384,84.44,13.76,68.38,24336.16,50.01,15,20,9,43.26485937729629
CCL,12,849.55,6117.997914,85.09,16.49,43.74,11348.54,46.09,14,17,16,46.64232090119693
DODLA,12,1433.8,3477.511452,90.21,14.18,41.27,8626.92,59.69,9,19,17,45.22611689634464
JUBLPHARMA,12,1210.6,9512.91558,83.68,12.1,63.65,19288.15,50.68,15,23,10,47.473738203044284
KRBL,12,365.7,3334.424212,88.44,20.26,28.93,8371.64,60.17,11,14,22,47.67666427320347
KIMS,12,673.6,16480.130016,88.68,11.64,61.59,26937.12,38.82,11,24,10,44.939829809495116
MAXHEALTH,12,1276,94734.42730800001,95.48,11.97,35.65,124225.58,23.74,5,23,19,46.522798459284665
PENIND,12,240.65,1958.0873060000001,86.03,18.2,42.91,3245.09,39.66,13,16,16,45.119093482109776
PNBHOUSING,12,1109.4,20762.93688,79.88,22.17,41.36,28877.52,28.1,18,13,17,47.68632594318143
POWERMECH,12,3356.1,4435.140555999999,81.79,23.71,35.75,10630.73,58.28,16,12,19,47.13353725893755
TVSMOTOR,12,2918,68962.02819699999,94.58,21.25,23.39,138672.89,50.27,6,14,26,45.38492673582847
VINYAS,12,1295.35,1151.055976,83.02,42.5,25.4,1630.16,29.39,15,5,24,44.89271481197585
WINDMACHIN,12,396.8,1860.7048839999998,85.25,6.08,169.95,3353.83,44.52,14,30,2,46.46722309450207
ABBOTINDIA,13,35670,18920.039990000005,88.67,18.82,29.13,75649.9,74.99,11,15,22,48.32673691416474
CHOLAFIN,13,1628,68600.094816,89.09,37.46,14.37,136981.02,49.92,10,6,33,50.16596946320144
INDIANB,13,643.45,22680.212495999996,91.85,24.33,17.96,86698.06,73.84,8,12,31,50.8308715550084
SANOFICONR,13,5696,5191.50852,85.19,16.04,NA,13109.87,60.4,14,17,17,48.2973132053869
SBILIFE,13,1838.3,82220.038026,82.66,31.27,23.21,184267.23,55.38,15,8,26,49.875656813986794
SHAILY,13,1663.5,4306.196664,67.92,15.6,107.5,7651.38,43.72,28,18,5,49.89977238114552
SHRIRAMFIN,13,706.85,99190.42037999998,90.05,21.09,21.39,132963.03,25.4,9,14,27,50.44311411189909
SHRIPISTON,13,2477.6,6127.77375,89.04,14.03,29.63,10893.82,43.75,10,19,22,51.101667138975785
SWARAJENG,13,3948.6,2295.4964760000003,72.98,31.29,36.81,4794.27,52.12,23,8,18,49.76797769655147
RAMCOCEM,13,1075.2,14610.379515000002,97.7,11.3,28.54,25431.47,42.55,3,24,22,48.732844781019146
UPL,13,661.25,35690.131049999996,82.29,32.12,20.76,53669.37,33.5,16,8,28,50.99408142378458
V2RETAIL,13,1814.5,2872.9729600000005,79.76,7.73,134.93,6278.35,54.24,18,28,3,48.863894249545574
ACUTAAS,14,1144.4,5999.958831999999,75.4,9.76,77.09,9369.08,35.96,22,25,8,54.87435576885834
CENTUM,14,2394.8,1710.0301919999997,80.49,10.83,45.56,3527.29,51.52,17,24,15,56.38710251813085
GLENMARK,14,1753.8,26379.51569,87.17,8.63,42.53,49446.14,46.65,12,27,16,55.21801951680006
GOODLUCK,14,1176.35,1704.59055,78.3,21.52,27.84,3914.1,56.45,20,14,23,55.8082057045863
INDIASHLTR,14,880.5,4948.079135999999,82.36,25.61,23.74,9500.92,47.92,16,11,26,52.38851973153128
KOLTEPATIL,14,464.5,1079.9516649999998,95.5,30.39,7.15,3535.03,69.45,5,9,41,54.236514360530464
