symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
PIIND,50,3640.2,29779.36107,37.19,-19.17,-0.38,55239.03,46.09,40,61,47,148.1799778
POLYCAB,50,5520,30690.86214,31.62,-15.1,-2.59,83060.52,63.05,49,50,50,148.6684657
RPSGVENT,50,813.3,981.975092,30.83,-22.45,12.75,2691.08,63.51,50,67,32,149.554619
SAFARI,50,2004.1,5342.635956,28.61,-11.74,-5.18,9786.84,45.41,54,42,53,149.222149
AETHER,51,805.35,1945.449087,20.42,-5.57,-3.38,10671.69,81.77,70,31,51,151.0397316
BRIGADE,51,1028.6,14809.87055,33.7,-17.82,-0.42,25161.18,41.14,45,58,47,150.5687648
CANFINHOME,51,715.15,6670.951857,39.83,-18.37,-6.23,9528.57,29.99,36,59,55,150.511093
JINDALPOLY,51,630.3,698.930805,24.51,-17.45,10.84,2746.29,74.55,61,57,33,150.905271
PRUDENT,51,2215.3,4065.953436,33.72,-37.07,43.41,9182.37,55.72,45,93,13,151.0208933
RAMCOIND,51,228.66,899.48452,18.56,-7.22,1.15,1990.01,54.8,73,34,45,152.1166494
SASKEN,51,1535.4,1324.70417,23.08,-10.03,-1.17,2326.9,43.07,63,39,48,149.9408935
SMSPHARMA,51,235.69,704.06945,27.22,-21.61,15.36,2086.75,66.26,57,65,30,152.1941897
SPLPETRO,51,650.05,4368.4416,32.31,-14.8,-4.94,12216,64.24,47,49,53,149.9352952
TATASTEEL,51,140.08,116871.4412,28.19,-6.46,-15.1,174931.06,33.19,55,33,65,152.2840412
YATHARTH,51,483.7,1787.464756,39.8,-28.64,8.55,4659.71,61.64,36,79,35,150.5780615
ADSL,52,185.63,511.499514,31.74,-33.69,36.34,1047.94,51.19,49,89,17,153.9045095
BHEL,52,226.84,29031.97305,31.89,-6.25,-19.47,78826.97,63.17,48,32,72,152.4816284
