symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
PDSL,71,438.75,2392.38438,31.81,-20.97,3.08,6201.1,61.42,68,82,54,204.17243223243918
TIMKEN,71,3124.6,11493.641115,35.32,-7.51,-21.84,23480.37,51.05,63,54,86,203.63084387345583
ADANIPOWER,72,543.8,52518.97863200001,24.24,-1.98,-22.14,209740.33,74.96,83,39,86,208.18308640064674
APOLLOPIPE,72,457.4,1120.038672,37.86,-7.42,-30.84,2106.92,46.84,59,54,93,206.4494144180323
BAJAJHFL,72,122,11437.986375,22.22,-10.21,NA,101670.99,88.75,86,61,61,206.82473055139886
BLUEDART,72,6622,3930.745,30.48,-11.77,-9.65,15722.98,75,71,64,71,205.92633033177202
CONCOR,72,784.4,21612.08168,30.9,-5.31,-26.42,47814.34,54.8,70,48,90,208.1805039986031
ELGIEQUIP,72,535.2,11669.673687,35.49,-16.36,-9.75,16959.27,31.19,63,73,71,206.64974574421296
GANDHAR,72,179.1,620.4393180000002,40.66,-19.64,-10.7,1754.14,64.63,55,80,72,207.05094522174727
RCF,72,149.56,2062.4975,30.31,-16.47,-4.65,8249.99,75,71,73,64,208.2367869334271
RAIN,72,141.1,2789.973768,30.07,-8.22,-16.06,4743.24,41.18,72,56,78,205.97029722330694
SKFINDIA,72,4696,11012.422472,30.32,-6.2,-21.6,23223.16,52.58,71,50,86,206.61000958096452
SONACOMS,72,543.95,24322.279534000005,42.21,-19.01,-14.75,33790.33,28.02,52,78,78,208.03459837412282
SUPRAJIT,72,418.65,3218.4248719999996,23.68,-9.71,-4.39,5810.48,44.61,83,60,63,206.06988138645153
BAJEL,73,211.88,916.593326,36.08,-15.48,-14.41,2448.82,62.57,62,72,77,210.30368377043504
BATAINDIA,73,1263.8,8102.742984,25.65,-10.42,-7.9,16257.51,50.16,81,61,68,209.8053991874171
COALINDIA,73,397.3,90251.757564,24.6,-4.59,-17.6,244783.72,63.13,82,46,80,208.78176093049257
FDC,73,438.9,2169.728692,26.65,-14.23,-4.37,7151.38,69.66,78,68,63,209.5486897536783
GICHSGFIN,73,188.5,584.267827,29.39,-13.54,-8.14,1014.53,42.41,73,67,68,208.49185713965483
JINDWORLD,73,60.26,2430.75732,15.33,-5.12,-9.32,6046.66,59.8,94,47,70,210.78891221932378
JKPAPER,73,366.05,3123.428589,24.85,-13.55,-3.68,6200.97,49.63,82,67,61,210.16577101784287
KAJARIACER,73,1039.75,8704.948408000002,35.35,-13.85,-16.63,16574.54,47.48,63,67,79,209.4838327199823
KSL,73,794.8,1224.59583,22.9,-11.92,-1.43,3469.11,64.7,85,64,59,208.3623576203574
SUNDRMFAST,73,1026.5,11446.094524999999,28.95,-10.91,-11.28,21576.05,46.95,74,63,73,209.6926915595284
TORNTPOWER,73,1374,33865.914938999995,20.09,-9.05,-4.61,69241.29,51.09,89,58,64,209.7238659981801
WELSPUNLIV,73,132.66,4351.1576000000005,25.72,-13.01,-4.32,12888.5,66.24,80,66,63,208.90799364114454
CROMPTON,74,352.9,22737.39,28.36,-13.86,-9.82,22737.39,0,75,67,71,213.55482094233577
DABUR,74,482.95,28870.893303000004,24.97,-8.38,-12.37,85594.11,66.27,82,56,74,211.96436117763062
EQUITASBNK,74,63.61,7248.43,20.78,2.05,-32.44,7248.43,0,88,32,94,213.31275518944096
ESABINDIA,74,5027.8,2027.67282,31.3,-16.87,-7.06,7715.65,73.72,70,74,67,210.81249067276602
GOODYEAR,74,939.35,563.4408,29.37,-9.57,-18.03,2167.08,74,73,59,81,213.89239007718788
HATHWAY,74,16,707.1325,29.59,-7.41,-22.14,2828.53,75,73,54,86,213.46920387834268
IMAGICAA,74,67.56,992.4411960000002,23.98,-7.29,-13.5,3820.02,74.02,83,54,76,212.3230204447675
JAGRAN,74,76.25,514.2342,27.35,-9.27,-15.84,1658.82,69,77,59,78,213.3883916726091
PFS,74,36.95,830.8713240000001,27.78,-15.45,-5.01,2373.24,64.99,76,71,65,212.1040709297423
SHRIRAMPPS,74,92.17,1131.320382,34.38,-14.19,-17.96,1569.97,27.94,65,68,81,213.9428203438047
SUNTV,74,629.65,6206.77,29.72,-16.98,-6.06,24827.08,75,73,75,66,213.39997927143474
TBOTEK,74,1304.7,7869.637263,31.42,-17.77,-6.48,14156.57,44.41,69,76,66,211.64388546615737
FEDFINA,75,98.18,1425.121209,34.97,-14.46,-18.66,3656.97,61.03,64,69,82,214.25091704876513
