symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
CYIENTDLM,88,421.65,1602.2563200000002,18.14,-7.34,-36.97,3346.4,52.12,79,81,91,250.89361146400398
DALMIASUG,88,349.45,708.7347930000001,19.91,-9.74,-35.59,2824.77,74.91,77,86,89,251.49237877483858
DOLLAR,88,367.25,571.8848520000001,7.8,-7.46,-27.41,2057.88,72.21,92,81,77,249.75813668457488
JWL,88,335.55,4555.987173,20.6,-10.86,-34.6,14286.57,68.11,76,88,88,251.5536269672281
KENNAMET,88,2089.75,1148.225,10.23,-7.25,-30.68,4592.9,75,89,80,83,252.16513370984688
MOTISONS,88,18.23,609.1542000000001,15.38,-4.05,-41.29,1791.63,66,83,74,95,252.27136483631122
PSB,88,29.75,1303.1431800000012,14.58,-1.33,-46.12,21189.32,93.85,84,68,97,249.37687128696695
RAIN,88,128.23,2533.7171110000004,13.97,-10.39,-28.77,4308.31,41.19,85,87,79,251.3760044726502
SEAMECLTD,88,915.9,647.029461,21.57,-10.75,-35.31,2336.69,72.31,75,88,89,250.8945819729537
SHOPERSTOP,88,519.1,1977.3176640000001,14.01,-6.26,-34.24,5734.68,65.52,85,78,87,250.9055839667763
AARTIIND,89,374.9,7864.3416799999995,12.35,-5.91,-35.69,13615.55,42.24,87,78,89,254.33078927743014
ACC,89,1824.7,14815.406842,6.67,-8.53,-27.4,34207.82,56.69,94,84,77,254.2654592516635
BAJAJELEC,89,545.05,2336.26304,11.6,-2.22,-43.94,6266.8,62.72,88,71,96,254.59796402802166
BAJAJHFL,89,110.01,10363.60516,12.38,-11.72,-28.59,91713.32,88.7,87,89,79,254.6496010224264
BEPL,89,101.51,1076.6682150000001,15.56,-10.24,-32.98,2531.55,57.47,83,86,86,254.9380622248165
BLUEDART,89,5703,3383.6375,9.21,-7.29,-30.49,13534.55,75,90,80,82,252.85159680565513
JYOTICNC,89,849.9,7233.806950000001,13.23,-19.42,-25.79,19310.75,62.54,86,95,73,254.6637174555608
"NATCOPHARM",89,795.55,7166.066284,16.04,-4.9,-43.98,14207.11,49.56,82,76,96,253.4232886522284
NOCIL,89,174.14,1930.9887360000002,12.61,-5.07,-40.02,2915.14,33.76,87,76,94,256.7111774036099
RAJESHEXPO,89,181.36,2432.8294200000005,20.58,-9.64,-37.53,5352.76,54.55,76,86,91,253.1439153472615
SPECTRUM,89,1379,597.208788,17.06,-27.14,-25.97,2174.04,72.53,81,98,74,252.6567487784327
TINNARUBR,89,941.95,551.14,16.07,-8.29,-35.95,1700,67.58,82,83,90,254.36589980822293
BASF,90,4397,5082.227199000001,7.09,-2.75,-40.46,19055.97,73.33,93,72,94,259.2775995469151
CARBORUNIV,90,924.65,10697.264099,15.88,-9.21,-38.29,17602.87,39.23,83,85,92,259.6559899063186
GOKEX,90,719.95,4796.586972,8.73,-19.49,-25.8,5280.84,9.17,91,95,73,259.65496510938544
NEWGEN,90,889.7,5826.77052,14.13,-10.34,-33.67,12606.6,53.78,85,87,86,258.15831393362714
PCBL,90,373.6,6845.762497000001,17.21,-13.12,-35.32,14088.83,51.41,81,90,89,259.52403806776954
ROLEXRINGS,90,1294,1643.502825,8.3,-2.21,-49.23,3523.05,53.35,91,70,98,259.70678743940573
SALZERELEC,90,753.25,830.12463,0.36,-32.66,-18.24,1329.05,37.54,100,99,59,257.57730969546975
SIGNATURE,90,1054,4497.535818,7.12,-5.75,-34.03,14809.14,69.63,93,78,87,257.82084781406184
