symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
SENORES,19,751.25,1872.443327,71.29,-3.28,4.46,26.62,3455.33,45.81,17,23,24,63.329015031733974
VOLTAMP,19,8685.5,6148.352000000001,66.51,10.21,10.5,25.27,8783.36,30,20,18,25,62.12290376076914
APOLLOHOSP,20,7724.5,79936.89953600001,82.12,7.44,-1.03,23.12,111054.32,28.02,8,30,26,64.30905006866647
BALAJITELE,20,104.93,833.1584800000002,60.15,-7.21,-4.15,86.24,1221.64,31.8,24,35,6,64.46763224490336
BRITANNIA,20,5983,71335.51177,80.47,0.37,-1.53,27.23,144257.86,50.55,9,30,24,63.548041071357815
HEG,20,535.7,4538.544527999999,53.11,2.92,8.78,39.31,10345.44,56.13,29,19,17,64.8797706807143
IIFLCAPS,20,308.65,6648.305221999999,57.46,-3.34,3.24,45.64,9625.46,30.93,26,24,15,65.19457611876881
INDOTHAI,20,261.95,1460.443413,36.25,-34.59,65.64,32.57,3378.31,56.77,41,2,20,63.4340157304663
INDUSINVIT,20,123.21,2261.202608,82.91,3.69,7.23,12.24,5456.57,58.56,7,20,37,64.55735162267302
LT,20,3949.8,544113.71,66.76,-2.19,11.15,21.16,544113.71,0,20,17,28,64.4504226908535
NXST,20,156.16,18432.982962000002,73.87,-4.11,7,17.48,23720.22,22.29,14,20,31,64.9442706182902
SINDHUTRAD,20,25.12,959.292271,46.31,8.84,3.8,73.72,3832.57,74.97,33,23,8,64.19412403348234
SYRMA,20,761.55,8406.636192,73.26,2.46,-8.38,73.12,14676.39,42.72,15,41,8,63.89092732557937
USHAMART,20,419,7592.11642,63.71,-3.01,9.7,26.55,12764.15,40.52,22,18,24,64.19052420618394
AQYLON,21,108.7,1125.0176000000001,34.77,-20.4,4.23,140.11,2752,59.12,42,23,3,68.24171340691063
BIOCON,21,390.7,34905.921967,73.58,-0.5,7.42,17.33,63361.63,44.91,14,20,31,65.26543106421951
CARERATING,21,1621,4896.67,62.34,4.95,1.22,38.49,4896.67,0,22,28,18,67.57478861484434
GPIL,21,247.35,6075.807999,65.23,6.19,2.05,35.75,16641.49,63.49,21,26,19,65.60696922687427
IPCALAB,21,1494.2,20970.484583999998,76.38,2.41,11.93,9.69,37935.03,44.72,12,16,40,68.02108558671615
KINGFA,21,4179,1874.6986300000003,68.14,6.41,-1.94,41.97,5684.35,67.02,19,31,16,66.85187819948148
KIMS,21,720.6,19020.327931,73.23,2.36,-3.01,37.01,28866.79,34.11,15,32,18,65.91271560759469
MANGLMCEM,21,851.65,1400.97,70.47,8.57,10.88,17.14,2334.95,40,17,17,31,65.8224416538632
NORTHARC,21,239.95,3884.99,66.3,-6.74,-0.96,38.99,3884.99,0,20,30,17,67.25352000693667
SIEMENS,21,3268.9,29094.915,82.66,-1.71,5.82,10.47,116379.66,75,8,21,39,67.92703677993944
STAR,21,864.85,5749.886228,68.72,-1.79,-2.86,39.19,7971.56,27.87,18,32,17,68.15502453111682
