symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
OPTIEMUS,82,372.65,919.7787169999999,19.92,-18.07,-41.45,-8.39,3304.99,72.17,76,98,64,236.95787182120043
PIIND,82,2909.4,23796.343017000003,12.85,-11.5,-18.05,-19.35,44140.87,46.09,92,65,78,234.81761791729454
SRF,82,2443.2,36055.760004,12.8,-19.62,-20.9,-17.11,72488.46,50.26,92,71,75,238.6600194695222
TTML,82,41.66,2089.177968,22.61,-10.79,-25.86,-26.43,8148.12,74.36,70,82,87,238.51435810585554
TCIEXP,82,521.9,611.3436120000001,17.6,-1.87,-23.39,-17.37,2001.78,69.46,82,77,76,234.11003813892705
BBTC,82,1450.6,2626.428045,17.5,-21.43,-23.16,-20.57,10121.11,74.05,82,76,80,238.30138887036765
ZAGGLE,82,250.07,1879.4723870000003,22.68,-18.29,-28.98,-22.07,3364.01,44.13,69,87,83,238.50155222766006
AAVAS,83,1283.6,5194.807159999999,19.64,-11.29,-19.13,-36.71,10175.92,48.95,76,68,95,238.84370240968678
AJAXENGG,83,468.1,1071.304,20.25,-18.61,-24.59,-24.82,5356.52,80,75,79,86,239.90159556734986
ALLCARGO,83,8.55,764.7743199999999,15.97,-17.87,-30.88,-11.49,1280.6,40.28,86,90,68,243.0594987264799
BAJAJHFL,83,85.03,9423.028719999997,19.3,-9.76,-22.79,-28.77,70849.84,86.7,77,75,90,242.47636920081612
BIRLANU,83,1422.8,637.636356,18.79,-18.83,-24.11,-22.96,1072.92,40.57,79,78,83,239.98280947872354
HEIDELBERG,83,151.38,1050.066867,17.23,-10.7,-22.82,-22.33,3430.47,69.39,83,75,83,240.56032818146662
SIYSIL,83,524.05,773.1372,21.79,-14.13,-27.86,-24.47,2374.5,67.44,71,86,85,242.174550934137
SMARTWORKS,83,407.85,1951.296108,18.02,-14.19,-25.36,NA,4665.94,58.18,81,81,81,243.00944138473645
TCS,83,2472.6,252542.92638000005,9.84,-24.34,-16.74,-23.48,894590.6,71.77,96,61,84,240.89805571483816
UNITECH,83,4.81,1193.8820280000002,23.52,-6.78,-33.01,-23.04,1258.44,5.13,67,91,83,241.74656616303724
UTIAMC,83,959.55,12334.77,10.54,-11.12,-30.35,-3.87,12334.77,0,95,89,58,241.74104335302513
UTKARSHBNK,83,13.34,1360.9511369999998,23.57,-5.39,-24.55,-33.23,2373.89,42.67,67,79,93,238.74724026190506
ABLBL,84,103,6712.449419999999,17.31,-13,-25.01,NA,12570.13,46.6,82,81,81,243.44044059795436
AEGISLOG,84,617.95,9088.130949999999,11.32,-14.38,-23.03,-18.23,21690.05,58.1,94,76,77,246.20952473029377
AMRUTANJAN,84,525.25,812.1098439999998,12.87,-14.08,-24.87,-16.9,1518.53,46.52,92,80,75,246.70717171851874
BLUESTONE,84,498.2,6346.6032,25.03,4.72,-31.51,NA,7588,16.36,63,90,90,243.75719905586152
CROMPTON,84,237.67,15305.19,13.79,-5.98,-17.59,-28.86,15305.19,0,90,63,90,243.35817053167798
GREENPLY,84,213.71,1286.5929600000002,21.24,-14.05,-29.99,-25.39,2669.28,51.8,73,88,86,247.16499286562032
HERITGFOOD,84,335.9,1829.69074,17.57,-24.18,-31.64,-16.68,3117.02,41.3,82,90,75,247.1037578844897
INTELLECT,84,652.05,6394.540627,8.69,-29.96,-34.46,-1.29,9110.33,29.81,97,93,55,244.89861646374803
ORCHPHARMA,84,546.6,836.1286959999999,17.61,-26.37,-24.98,-24.05,2772.31,69.84,81,80,85,246.80502006961018
ORISSAMINE,84,3701.2,1110.1379279999999,19.79,-23.52,-30.25,-21.15,2220.72,50.01,76,88,81,245.4607769139474
RMDRIP,84,25.78,870.5029559999999,9.63,-52.18,-36.11,0,1102.74,21.06,96,95,53,243.41049420581683
RVNL,84,271.79,15385.640255999999,11.9,-17.69,-19.73,-21.52,56648.16,72.84,93,69,82,244.01850938137594
TEJASNET,84,442.55,3661.23199,23.94,17.86,-24.4,-47.18,7866.85,53.46,66,79,98,243.18625931803334
ACC,85,1410.5,11471.688608999999,18.38,-18.38,-24.17,-29.73,26487.39,56.69,80,78,91,248.94430583152194
APTUS,85,226.08,8619.674603,19.24,-17.55,-26.92,-25.25,11322.31,23.87,78,84,86,248.03233807625116
CIPLA,85,1211.1,69254.24634499999,8.98,-15.57,-22.83,-17.22,97830.55,29.21,97,75,75,247.20033004840707
EMUDHRA,85,485.7,1830.67584,22.3,-13.36,-25.64,-42.24,4014.64,54.4,70,81,97,248.22757271066422
EPIGRAL,85,1128.3,1514.001708,24.62,-2.86,-32.44,-36.78,4857.24,68.83,64,91,95,249.7241662110443
HPL,85,323.9,567.575666,17.78,-9.27,-25.28,-24.86,2075.99,72.66,81,81,86,247.89926255850858
JASH,85,385.7,1384.0854160000004,17.12,-4.07,-20.78,-35.38,2447.11,43.44,83,71,94,247.92808678606195
