symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
MAHLOG,9,407.85,1633.88508,87.38,25.51,28.72,64.88,4044.27,59.6,11,11,12,34.123991652123756
NAM-INDIA,9,943.65,16809.28093,88.18,7.77,20.25,75.48,60140.54,72.05,10,15,9,34.25131878910585
POLYCAB,9,8506,49289.97535,99.16,13.87,19.95,47.53,128025.91,61.5,2,15,17,34.17220164544314
PTCIL,9,17949,10829.765388,84.53,-1.25,28.11,76.96,26886.21,59.72,13,12,9,33.238566528400895
SOUTHBANK,9,41.73,10916.83,79.3,5.43,42.57,74.6,10916.83,0,17,7,10,33.06693861616722
UEL,9,183.02,596.2700080000002,72.44,53.09,53.41,92.79,2381.27,74.96,22,4,6,32.970304922919304
ASIANTILES,10,73.01,1122.093888,85.4,12.27,24.29,59.55,1692.96,33.72,12,13,13,37.90096901101432
AXISBANK,10,1395.5,398379.471105,94.65,9.05,33.52,38.29,433728.33,8.15,6,10,21,36.15830686692854
BLISSGVS,10,217.37,1486.215808,80.81,30.96,39.61,60.71,2299.22,35.36,16,7,13,35.58925892131926
CHENNPETRO,10,916.45,4465.389294999999,72.15,0.03,42,86.37,13651.45,67.29,23,7,7,37.019596920498756
DYNAMATECH,10,10125,4003.081759,77.32,9.49,57.48,54.24,6886.43,41.87,18,4,15,36.825533846502076
GAEL,10,144.53,2402.097952,90.31,30.71,39.83,37.33,6642.97,63.84,9,7,21,37.50659698495288
KRISHNADEF,10,1051.3,627.6140359999999,78.67,33.65,35.98,74.77,1569.82,60.02,17,8,9,34.84918688545223
MANINDS,10,450.3,1920.4049610000002,85.94,-3.45,17.73,95.23,3381.59,43.21,11,17,6,34.610342868366686
SGMART,10,446.85,3614.9759089999993,99.27,27.47,35.74,29.84,5672.33,36.27,2,8,26,36.669465858719654
SHRIPISTON,10,3146.4,7795.423125,85.48,20.47,25.22,65.7,13858.53,43.75,12,13,11,35.96968222291529
TORNTPHARM,10,4399.8,47179.726579,95.57,18.26,23.6,45.16,148878.91,68.31,5,14,18,36.2896873731346
VTL,10,549.3,5646.597292,99.63,25.67,29.45,34.75,15879.07,64.44,1,11,23,35.52801416890703
CPPLUS,11,1610,4382.191066000001,81.23,4.95,27.37,NA,18978.74,76.91,15,12,12,39.24982229299616
CRAFTSMAN,11,7754.5,9491.900489999998,89.7,10.39,12.18,90.12,18502.73,48.7,10,23,7,39.1646948189588
GPIL,11,272.23,6673.279545,87.7,15.74,17.15,62.52,18277.95,63.49,11,18,12,40.98307428992801
HINDALCO,11,941.3,138330.727552,81.7,16.44,33.72,51.96,211644.32,34.64,15,9,15,39.57428638457354
INDUSTOWER,11,461.25,59640.969451000004,87.99,15.01,36.22,39.1,121790.83,51.03,11,8,20,39.07231341681006
JSWSTEEL,11,1280.6,171251.96392,98.92,10.37,24.74,33.57,313189.4,45.32,2,13,24,39.36753229654877
KEI,11,5009.1,31103.462000000003,98.03,20.83,31.45,31.89,47851.48,35,3,10,25,38.78739412038013
MMFL,11,462.95,976.1983059999999,83.07,41.55,46.57,37.17,2235.91,56.34,14,6,21,40.52143710057926
PNB,11,130.48,44881.762288000005,90.6,4.8,29.34,40.12,150005.89,70.08,9,11,20,40.19798475522865
RRKABEL,11,1519.2,6593.820552000001,94.6,8.26,30.12,36.8,17198.28,61.66,6,11,22,38.6526168215449
SEITINVIT,11,125,1562.49,100,13.64,15.74,NA,4050,61.42,1,19,19,39.47587751519941
SYRMA,11,833.5,9204.626784,86.23,1.62,10.65,96.26,16069.53,42.72,11,24,6,40.873963625277874
ADANIPORTS,12,1550.6,114267.84353400001,93.9,2.22,18.11,43.53,357310.33,68.02,7,17,18,41.9843562852073
