symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
TATAELXSI,71,5240.5,18315.887039999998,27.82,0.28,-15.6,-22.89,32648.64,43.9,66,70,72,207.52783899533148
VSTIND,71,257.55,2967.8439680000006,19.44,-1.13,-11.01,-23.39,4374.77,32.16,75,59,73,206.85057954865897
BBL,72,2684,2016.0712899999999,21.36,-18.86,-11.34,-28.46,3038.54,33.65,73,60,80,213.66308180066426
BIRLACORPN,72,1063.5,3038.49742,25.44,-12.35,-24.09,-14.06,8190.02,62.9,69,86,58,212.7519784355809
HESTERBIO,72,1599.7,630.960855,28.46,-14.69,-10.94,-33.33,1363.65,53.73,65,59,86,209.59181562539163
KFINTECH,72,1082,14377.413963,36.87,0.15,-16.44,-29.61,18645.33,22.89,55,72,82,209.89704830649205
MANKIND,72,2196.5,24772.772894999995,11.72,-9.96,-9.96,-23.74,90643.15,72.67,84,56,73,213.533474393721
NIACL,72,155.82,3741.816624000001,26.06,-18.2,-16.28,-23.06,25699.29,85.44,68,72,72,211.80483495738815
NTPCGREEN,72,94.55,8753.034954999996,20.62,-3.67,-11.26,-25.66,79645.45,89.01,74,60,76,210.23140646540918
PFC,72,355.4,51617.39696099999,17.59,-13.56,-14,-20.76,117285.61,55.99,77,67,68,212.46217766950747
SBCL,72,429.7,1654.0157680000002,33.35,-15.14,-19.69,-25.33,2474.96,33.17,59,78,75,212.6345201074696
TATATECH,72,643,11676.393956000002,15.1,-6.87,-9.2,-27.86,26075.02,55.22,79,53,79,211.98914229931694
TCPLPACK,72,3009.5,1211.480294,7.11,-11.67,-18.4,-5.73,2737.19,55.74,91,76,46,212.96072610524502
VINDHYATEL,72,1402.6,937.3037519999999,31.1,-0.81,-17.71,-25.57,1660.12,43.54,62,75,76,212.2363566667189
ACC,73,1737.7,14132.828249000002,5.56,-4.94,-11.57,-15.34,32631.79,56.69,93,61,60,213.89324222176964
AWL,73,237.3,11130.67626,5.67,-9.79,-7.36,-22.97,30867.1,63.94,93,50,72,214.82338991414963
KIRLFER,73,481.05,3896.9838179999997,24.6,-9.3,-15.61,-24.77,7930.37,50.86,70,70,75,214.7082741610791
PIIND,73,3238.2,26476.489449,20.82,-9.65,-23.27,-12.14,49112.39,46.09,74,84,55,213.7067506305615
PICCADIL,73,565.85,1748.9642999999996,16.27,-16.19,-5.76,-37.79,5573.5,68.62,78,46,91,215.010337095814
SENCO,73,317.95,1852.8375999999998,25.52,-7.75,-9.13,-40.71,5204.6,64.4,69,53,93,215.09989777854366
SCILAL,73,46.79,789.8875,16.15,-6.42,-11.38,-25.72,2179,63.75,78,60,76,214.83560361574132
ENRIN,73,2560.1,22789.06,4.6,-24.69,-11.54,NA,91156.24,75,95,61,61,216.2387608292079
SIYSIL,73,632.25,935.4781040000001,16.28,-2.95,-11.42,-26.84,2873.09,67.44,78,61,78,216.18533073145133
SDBL,73,107.57,1273.622174,15.42,-13.66,-31.35,-2.01,2101.34,39.39,79,94,40,213.74191510527635
THERMAX,73,3022.6,13678.599876,17.77,-4.51,-12.6,-25.18,35977.38,61.98,76,64,75,215.89389177841832
VMART,73,715.3,3173.8470519999996,12.03,-1.57,-9.51,-27.31,5685.86,44.18,84,55,78,216.69159512470233
DEEPAKNTR,74,1731.7,11971.715488,21.58,-5.96,-11.79,-30.57,23603.54,49.28,73,62,83,217.7424710568367
ELECON,74,481.45,4390.555517999999,36.2,-17.96,-25.48,-24.12,10779.66,59.27,56,87,74,217.01839888300537
ELECTHERM,74,873.35,778.9512,32.75,-15.9,-18.77,-28.53,1111.2,29.9,60,77,81,216.954041076576
IOB,74,36.13,5262.739020000001,14.49,-8.67,-9.56,-30.2,69612.95,92.44,81,55,83,218.20766122399425
JUNIPER,74,254.37,1271.905362,22.25,-10.97,-13.66,-27.51,5660.46,77.53,72,67,79,217.44837610837823
