symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
COCHINSHIP,55,1666.1,14061.459338000002,35.54,3.6,-14.43,5.5,43818.82,67.91,58,77,34,168.12500531125033
GAIL,55,176.09,55713.783515999996,40.66,1.74,-7.22,-10.48,115780.93,51.88,53,61,54,167.77259694042942
HUHTAMAKI,55,219.14,534.355703,33.46,1.66,6.75,-23.59,1655.89,67.73,59,33,75,167.64036413365366
MAXESTATES,55,484.7,4329.5336879999995,40.72,9.25,-7.62,-10.09,7906.38,45.24,52,62,54,167.77137317857645
PAISALO,55,37.48,2011.7807880000003,23.57,24.56,22.56,-28.09,3419.07,41.16,70,16,82,168.2214207713892
SCHNEIDER,55,716.35,4280.79,37.09,-16.42,-4.76,-12.29,17123.16,75,56,55,57,168.14860228700746
SHRIRAMPPS,55,88.22,1087.101516,44.2,2.94,-4.29,-16.71,1507.56,27.89,49,54,65,167.44186530696814
SWIGGY,55,378.3,94273.71,25.38,-7.68,13.59,-23.03,94273.71,0,69,24,74,167.1431436697881
BANARISUG,56,3601.5,1865.18234,35.9,-3.81,-14.03,2.7,4516.18,58.7,57,76,37,170.03997797377997
EFCIL,56,273.8,1486.3513500000001,50.63,-19.03,-18.24,-2.12,2725.25,45.46,42,84,43,169.51057229940807
FILATEX,56,53.54,822.000219,49.61,3.32,-6.76,-18.35,2376.41,65.41,44,60,67,170.85455082239173
FINKURVE,56,104.98,637.433125,28.6,-0.4,-18.14,18.33,1456.99,56.25,65,84,22,170.83936166548645
IPL,56,178.02,743.681015,46.16,-15.72,-14.52,-4.07,2045.89,63.65,47,77,46,169.82172648094354
MOLDTKPAC,56,609.9,1356.758109,41.4,-22.25,-8.83,-11.31,2027.13,33.07,51,65,55,171.4859481496143
OLECTRA,56,1250.4,5129.637323999999,37.37,-18.92,1.69,-20.97,10263.38,50.02,56,42,72,169.4270279667317
SEAMECLTD,56,960.85,665.8584239999999,38.06,-2.76,3.83,-23.76,2440.83,72.72,55,39,76,169.48427565572422
SIEMENS,56,3297,29373.63,39.25,7.61,0.96,-22.51,117494.52,75,54,43,74,170.96206418728121
SKIPPER,56,470.7,1781.1958159999997,39.93,-8.24,-4.25,-15.71,5313.83,66.48,53,54,63,169.99793449916518
SYSTMTXC,56,163.15,656.3984460000001,30.58,38.67,36.99,-51.43,2231.13,70.58,63,9,98,170.38504541611616
VOLTAMP,56,8159.5,5780.726,40.01,4.5,-1.53,-18.71,8258.18,30,53,48,68,169.38944314659972
BALUFORGE,57,628.8,3247.445355,45.62,2.17,-10.41,-13.16,7192.57,54.85,47,68,58,173.86764304996365
BHARATWIRE,57,178.75,718.3266299999999,44.69,4.54,-1.17,-24.16,1223.1,41.27,48,48,76,172.19818247596422
DLF,57,723.6,46419.835104,41.44,-2.09,-9.31,-11.09,179088.87,74.08,51,66,55,172.22414347489823
ELGIEQUIP,57,510.5,11132.226300999999,43.18,8.19,-4.62,-19.45,16178.21,31.19,49,55,69,173.68453816180894
GICRE,57,387.2,11940.227199999996,23.36,6.48,-5.93,-2.63,67842.2,82.4,71,58,43,171.60745346546207
INGERRAND,57,3733.5,2951.42,41.25,-1.95,-4.73,-16.75,11805.68,75,52,55,65,171.55403420728663
JSWINFRA,57,270.35,9299.505851999997,39.92,-8.67,-7.05,-12.86,56773.54,83.62,53,61,58,172.42062460027353
NIACL,57,170.68,4096.403584000001,41.05,-9.34,-8.46,-11.87,28134.64,85.44,52,64,57,172.47804613463
RAINBOW,57,1351.3,6875.840824999999,29.11,-10.04,-3.65,-11.34,13710.55,49.85,64,53,55,172.36224979102397
SGMART,57,350.55,2816.515485,41.47,6.49,-9.52,-11.3,4419.45,36.27,51,66,55,172.81690223268856
