symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
EVEREADY,24,421.55,1740.7322530000001,68.56,41.32,-7.66,3064.13,43.19,21,19,43,82.41893811670113
FACT,24,924.9,5984.769,65.8,41.44,-5.73,59847.69,90,23,18,40,81.83377554997963
MAXHEALTH,24,1154.3,85582.129164,64.8,16.78,33.84,112224.14,23.74,24,47,11,82.38583019062509
SHK,24,248.95,1549.661703,55.17,43.37,0.76,3445.99,55.03,33,17,33,82.98232644004639
SBILIFE,24,1805.5,80778.91647,76.84,29.6,-2.42,180996.9,55.37,15,30,37,81.51903263646304
SKIPPER,24,512.95,1940.9521359999999,52.99,29.35,22.72,5790.43,66.48,35,30,16,81.61412704718991
V2RETAIL,24,1726.7,2734.228812,65.3,14.12,50.46,5972.54,54.22,23,52,7,82.90168195656135
VISHNU,24,492.25,1020.2543610000002,60.1,22.04,22.37,3313.59,69.21,28,39,16,82.97709718703192
ARVINDFASN,25,519.7,4499.085246,62.44,36.05,-2.38,6936.61,35.14,26,23,37,85.05038152046657
ASHOKLEY,25,126.98,36281.248325,80.97,22.72,-0.97,74576.05,51.35,12,38,35,85.14503155656169
CSBBANK,25,362.6,3774.36,53.77,32.02,12.03,6290.6,40,34,27,23,84.04004738254538
DDEVPLSTIK,25,309,799.3575,66.79,40.97,-8.02,3197.43,75,22,19,44,84.93094696489571
DIXON,25,16690,71758.58875499999,65.49,17.62,26.72,100997.31,28.95,23,46,14,83.08081462359964
HEROMOTOCO,25,5087.7,66427.19467799999,60.37,44.75,-6.74,101788.53,34.74,27,16,42,85.12364353578872
IIFLCAPS,25,295.9,6330.22562,45.13,47.05,7.37,9176.9,31.02,43,15,28,85.5888576624611
KMEW,25,1880.5,798.4372030000002,50.47,26.33,29.82,2031.13,60.69,37,34,12,83.10667637532953
"NAZARA",25,1161.1,9860.040023,52.8,26.5,25.02,10753.67,8.31,35,33,15,83.25726190492415
SENORES,25,690.15,1723.323058,84.24,22.69,NA,3178.39,45.78,9,38,38,85.77673914317529
SUNFLAG,25,265.6,2337.790092,57.86,21.92,23.39,4786.63,51.16,29,39,16,84.12808262540054
TVSHLTD,25,11872,6136.995024999999,78.43,45.64,-14.89,24019.55,74.45,13,16,55,84.32602883659143
AARTIPHARM,26,841.35,4291.653912,69.1,15.46,22.19,7625.54,43.72,20,50,17,87.0557881258101
BAJAJCON,26,234.42,1976.6219849999998,60.47,47.8,-11.22,3347.37,40.95,27,15,48,90.05608746110514
BETA,26,1874,629.375244,56.57,22.66,16.22,1891.72,66.73,31,38,21,89.36471163408564
BDL,26,1435.7,13193.684165999997,45.23,36.82,10.19,52627.38,74.93,43,22,25,90.51994376062808
BRITANNIA,26,5824,69369.30065000002,67,27.29,-0.53,140281.7,50.55,22,33,35,88.93666216215603
BIRET,26,319.51,14282.159649999998,90.86,8.75,20.04,19418.3,26.45,5,63,18,86.06220103383403
GLAND,26,1871.5,14852.814872,72.13,22.93,1.79,30834.16,51.83,18,38,32,87.63231187932364
IIFL,26,427.6,13653.074379999998,52.64,50.78,-6.29,18172.6,24.87,35,13,41,89.85729140117766
INNOVACAP,26,902.05,2534.52727,40.14,31.3,37.11,5161.97,50.9,48,28,10,86.47947755854162
PARAS,26,648.7,2418.33402,43.34,49.05,1.97,5227.7,53.74,45,14,32,90.28674231427809
SINDHUTRAD,26,23.46,905.4252080000001,40.02,70,2.04,3617.36,74.97,49,7,32,87.30197354582447
TORNTPHARM,26,3559.8,38178.33736,74.52,21.48,2.14,120474.4,68.31,16,40,31,88.15129022541635
USHAMART,26,381.5,6690.7054499999995,59.7,22.26,15.14,11625.9,42.45,28,39,21,87.66240441828208
CEATLTD,27,3132.2,6688.376862,46.91,30.56,13.64,12669.78,47.21,41,29,22,92.00637429144251
CONTROLPR,27,773.9,582.008858,61.07,30.41,-2.49,1237.79,52.98,26,29,37,92.49503975690635
DIACABS,27,137.84,1160.7504460000005,50.48,57.5,-9.14,7263.77,84.02,37,10,45,91.58493887449474
EIHOTEL,27,399,16755.288145000002,71.17,19.46,4.29,24952.03,32.85,19,43,29,91.44910550368061
GODREJIND,27,1230.2,12028.150855999998,74.28,11.68,21.36,41433.52,70.97,17,57,17,90.93916428947534
GRAPHITE,27,510.8,3458.9952139999996,56.3,34.56,-1.22,9979.79,65.34,31,25,36,91.17201432493445
GRASIM,27,2775.6,107456.283959,80.27,15.91,2.84,188884.31,43.11,13,49,31,92.32656157504769
